level_index	freq_index	freq_hz	level_dbfs	thd_pct	margin_db	masked	clear	corroborated
0	0	20.0	-48.0	4.099438452841375	-6.110867565749892	1	0	0
0	1	26.20453862324424	-48.0	0.0332975092344587	-23.229687851683494	0	0	0
0	2	34.33389222285494	-48.0	0.007483859851861513	-7.666639498508928	0	0	0
0	3	44.985190242005366	-48.0	0.0104035943595796	1.5529856032404155	0	0	0
0	4	58.940807758530966	-48.0	0.009897996681534625	0.5265702850778382	0	0	0
0	5	77.22583366968192	-48.0	0.014388628301657944	2.1334206521318038	0	0	0
0	6	101.18336705547074	-48.0	0.014973167521671155	0.11170965711420422	0	0	0
0	7	132.5731725017491	-48.0	0.014870420972537983	-0.8034498963738628	0	0	0
0	8	173.7009409614052	-48.0	0.014676014907935483	-0.6438181373165008	0	0	0
0	9	227.5876508158505	-48.0	0.02241307045269864	2.1629014925002252	0	0	0
0	10	298.1914692988688	-48.0	0.01959858917621409	-1.8601864365788714	0	0	0
0	11	390.6984937182078	-48.0	0.018919345999278227	-2.4414106537969644	0	0	0
0	12	511.903688434106	-48.0	0.02607597870756363	-1.351787637449874	0	0	0
0	13	670.7099987476357	-48.0	0.03390487366967051	-0.9025134875046632	0	0	0
0	14	878.7823033589261	-48.0	0.03795057729743384	1.2478239030538845	0	0	0
0	15	1151.4042404896254	-48.0	0.04967818932627498	0.8539036618805369	0	0	0
0	16	1508.6008445438788	-48.0	0.05935681113638982	-0.10135499014927518	0	0	0
0	17	1976.609454895447	-48.0	0.05306223780027998	-0.7722929255383946	0	0	0
0	18	2589.806940193875	-48.0	0.058752799032994914	0.6083315416490933	0	0	0
0	19	3393.234799552818	-48.0	0.053461500875808324	0.6325871240415069	0	0	0
0	20	4445.907618130911	-48.0	0.06691020750022558	1.0111446678194582	0	0	0
0	21	5825.14789473436	-48.0	0.05276399949409667	2.37275168923928	0	0	0
0	22	7632.2656496838235	-48.0	0.032906272614364684	-0.05305543099322563	0	0	0
0	23	10000.0	-48.0	0.1631541722997491	-1.7025406462739738	1	0	0
1	0	20.0	-42.857142857142854	4.099619134852956	-6.1104847451645625	1	0	0
1	1	26.20453862324424	-42.857142857142854	0.030899766488638188	-23.87881886342457	0	0	0
1	2	34.33389222285494	-42.857142857142854	0.0042729405052398355	-12.534615500139267	0	0	0
1	3	44.985190242005366	-42.857142857142854	0.004974072415016219	0.2859739184863912	0	0	0
