level_dbfs	thd_db	delivered_dbfs	drive_term_db	rig_floor_db	margin_db
-48	-72.9899728744	-41.9794384861	15.9794401112	-75.1528743669	2.1629014925
-42.8571428571	-79.3946705455	-36.8370461065	10.8370477316	-80.2952667465	0.900596200926
-37.7142857143	-82.8063019903	-31.6951273862	5.69512901129	-85.4371854668	2.63088347647
-32.5714285714	-74.5070671799	-26.5556548021	0.555656427202	-90.5766580509	16.069590871
-27.4285714286	-64.3775628697	-21.4236561382	0	-91.1323144781	26.7547516083
-22.2857142857	-54.1528228722	-16.3161787337	0	-91.1323144781	36.9794916058
-17.1428571429	-43.9929875092	-11.2873230377	0	-91.1323144781	47.1393269688
-12	-34.0690220704	-6.50043403016	0	-91.1323144781	57.0632924077
