freq_hz	exact_dbc	moved_dbc
0.0	-150.6127545583453	-79.30892745021296
0.0457763671875	-143.09753391750957	-79.31390851490144
0.091552734375	-147.28313301121577	-79.30979768093738
0.1373291015625	-140.2396796752751	-79.30399756235953
0.18310546875	-137.41344180537203	-79.30765276027275
0.2288818359375	-143.51839272986598	-79.31476565951685
0.274658203125	-142.65117609355084	-79.31717362149966
0.3204345703125	-133.93703902982512	-79.29916585502659
0.3662109375	-144.18826231897287	-79.30964801703126
0.4119873046875	-135.44935228230406	-79.3150747792306
0.457763671875	-134.62662253843868	-79.29903846661321
0.5035400390625	-142.86058210226423	-79.31688755705181
0.54931640625	-132.8169446300389	-79.2957849868765
0.5950927734375	-139.42800310365016	-79.30497128135465
0.640869140625	-134.13762054954515	-79.3177518860442
0.6866455078125	-137.65887210307554	-79.30412564372476
0.732421875	-134.57975507909606	-79.31448482945271
0.7781982421875	-137.91615928686466	-79.30716086254807
0.823974609375	-138.20583204541225	-79.31355285924093
0.8697509765625	-133.50821188416325	-79.29550148403293
0.91552734375	-136.1595855251428	-79.30053107769966
0.9613037109375	-136.5566630679771	-79.29927067570179
1.007080078125	-135.709161148816	-79.29995245681377
1.0528564453125	-133.14053864114723	-79.29585940519986
1.0986328125	-136.06653681112218	-79.31043603607844
1.1444091796875	-133.5009877834506	-79.31104447215291
1.190185546875	-133.50912858891948	-79.32393569432503
1.2359619140625	-138.66552066658326	-79.31325144558866
1.28173828125	-135.83727533221702	-79.32197698823099
1.3275146484375	-146.44278947594617	-79.31209078777758
1.373291015625	-128.72677585589432	-79.3375270769395
1.4190673828125	-135.1624092664723	-79.32436713523084
1.46484375	-132.70233218479945	-79.29882921103675
1.5106201171875	-136.11802339721865	-79.31897176031133
1.556396484375	-142.29849971250297	-79.3043058369023
1.6021728515625	-134.1887572013796	-79.31268485438122
1.64794921875	-143.82430978641193	-79.31531006541405
1.6937255859375	-136.92830214797348	-79.30478817163232
1.739501953125	-149.40769713820578	-79.30749535348518
1.7852783203125	-138.89279692333648	-79.31177061881701
1.8310546875	-132.73605431914322	-79.2973816390303
1.8768310546875	-130.67889575946535	-79.28657886303101
1.922607421875	-143.4146398478756	-79.31456417240285
1.9683837890625	-137.8415749477124	-79.29981622953048
2.01416015625	-131.6071557289179	-79.28870265695724
2.0599365234375	-138.70991561776071	-79.31880446195055
2.105712890625	-133.64416504552088	-79.32058893587728
2.1514892578125	-140.7242269900163	-79.31147099768525
2.197265625	-135.18735606065349	-79.31014583322876
2.2430419921875	-136.40324138968492	-79.30661797183794
2.288818359375	-143.2560401785938	-79.3073913722948
2.3345947265625	-140.62870506528316	-79.30210976817169
2.38037109375	-131.0337601818603	-79.30636217004184
2.4261474609375	-144.57031384106568	-79.31309361201654
2.471923828125	-137.79016338601676	-79.30689111982176
