input	bare_static	coupled_compensated_static
-0.49813978999770336	-0.37970931182358164	-0.510733769546007
-0.4881957289191779	-0.3754091138138864	-0.5065135570616803
-0.47825166784065243	-0.3710247386914375	-0.502147809273408
-0.46830760676212696	-0.3665194977406405	-0.4976653957255186
-0.4583635456836015	-0.36185079030311873	-0.4930365761077298
-0.448419484605076	-0.35707462641799764	-0.4882662904046723
-0.43847542352655056	-0.3521513147676059	-0.4833587152502619
-0.42853136244802503	-0.3470930378854681	-0.4783195109321312
-0.41858730136949956	-0.34188650482608063	-0.47314636104741503
-0.4086432402909741	-0.3365094544465293	-0.4677857555516608
-0.39869917921244863	-0.3310363003019591	-0.4623052929580629
-0.38875511813392316	-0.3253886751953251	-0.4567587929376494
-0.3788110570553977	-0.31960854612036893	-0.450905348223257
-0.3688669959768722	-0.3136581271174983	-0.44500832280305863
-0.35892293489834676	-0.30757023007874607	-0.4389596404954858
-0.3489788738198213	-0.3013409479469611	-0.4326900240761692
-0.33903481274129577	-0.2949309062274801	-0.42636851877762805
-0.32909075166277035	-0.28841374263829356	-0.4198115107159366
-0.31914669058424483	-0.28168483074028694	-0.413156977687275
-0.3092026295057194	-0.2748391771764265	-0.40632528057800155
-0.2992585684271939	-0.2678242557819498	-0.39915985021031436
-0.2893145073486685	-0.26057140490463904	-0.3915047957088422
-0.27937044627014296	-0.25317609872256097	-0.3834093013497477
-0.2694263851916175	-0.24577540019339605	-0.3763796394225781
-0.259482324113092	-0.23816280680385266	-0.3684235931418879
-0.24953826303456655	-0.2304624458450292	-0.36114965875011873
-0.2395942019560411	-0.22256573752592956	-0.35288473649174007
-0.22965014087751562	-0.2145318768390645	-0.34498884503512406
-0.21970607979899015	-0.2063904925509885	-0.3370033713684072
-0.20976201872046463	-0.19809164359651404	-0.32863282786980746
-0.19981795764193921	-0.18966171446870878	-0.3202656780349483
-0.18987389656341375	-0.18110537010697614	-0.31173209324058304
-0.17992983548488822	-0.17242047271177446	-0.30301765415533005
-0.16998577440636276	-0.16362450072166643	-0.2943422861476582
-0.1600417133278373	-0.15470441817760008	-0.2852896220197707
-0.15009765224931182	-0.14568113721043277	-0.2764834035846149
-0.14015359117078635	-0.13652938404607023	-0.26718855738889913
-0.13020953009226083	-0.12728428003229744	-0.25804895486204543
-0.12026546901373547	-0.11794542460340893	-0.2487545703055936
-0.11032140793520995	-0.10852095923089028	-0.23920588133857995
-0.10037734685668448	-0.0990184173877383	-0.22966013230414745
-0.09043328577815901	-0.089441337714774	-0.22053621077126223
-0.08048922469963354	-0.0797817120025005	-0.2104609635144416
-0.07054516362110808	-0.07006200842887719	-0.20103265373890317
-0.06060110254258255	-0.06029026291789139	-0.1911980702309602
-0.050657041464057084	-0.05047308623287002	-0.1813063691021456
