index	in_E6_-48.0	out_E6_-48.0	in_E6_-37.0	out_E6_-37.0	in_E6_-26.0	out_E6_-26.0	in_E6_-19.0	out_E6_-19.0	in_E6_-12	out_E6_-12
0	-0.0233358621213	0	0.0294902411475	0	-0.00397184585442	0	-0.0374290068856	0	-0.00105099026711	0
1	0.61869273252	0	0.659296282887	0	0.633763321372	0.455535855374	0.60752236662	0.540306605812	0.636013470529	0.610579153917
2	0.977372696009	0	0.98715817445	0	0.981247893202	0.972122260223	0.974240910136	0.969829408246	0.981796764159	0.980524775153
3	0.888435979796	0	0.862921780367	0	0.879340913779	0.820622738147	0.894777030374	0.876756543945	0.877937216156	0.869407824985
4	0.392613725491	0	0.343484844519	0	0.374713856457	0.0704210568481	0.405523586192	0.303713532442	0.372000376343	0.328117595067
5	-0.283017552504	0	-0.333261124658	0	-0.301524513183	0	-0.269451361321	-0.144337567775	-0.304304996373	-0.255691859471
6	-0.829032617292	0	-0.857380294752	0	-0.839670791375	-0.76164731948	-0.8210230791	-0.790371490519	-0.841244927611	-0.83015158638
7	-0.995367658817	0	-0.988836853075	0	-0.993265085786	-0.989987568443	-0.996583060541	-0.995997875468	-0.992911884168	-0.992416587316
8	-0.705844697197	0	-0.667426335778	0	-0.691964195124	-0.542059991933	-0.715728326984	-0.667043958505	-0.689845516519	-0.668172826206
9	-0.0930592934057	0	-0.0403482209798	0	-0.0737579277845	0	-0.107084707587	0	-0.070843985222	-0.00591726712965
10	0.562345351265	0	0.60520854549	0	0.578228004289	0.372974484919	0.550601541909	0.473637559196	0.580602609678	0.551296343792
11	0.960207322447	0	0.973592196215	0	0.965397341579	0.948558105099	0.956123567612	0.94860928953	0.966145117135	0.963779436705
12	0.918314001401	0	0.89609051836	0	0.910434441659	0.86684774381	0.92376055513	0.910703709554	0.909212925139	0.902868925785
13	0.455851627987	0	0.408197707727	0	0.438511165331	0.165265068429	0.468334061229	0.377280949267	0.435879763051	0.396460686926
14	-0.215381464248	0	-0.266641286488	0	-0.234241227638	0	-0.20157980576	-0.0648423389107	-0.237077376047	-0.183766553332
15	-0.787974266357	0	-0.819364026075	0	-0.79971590983	-0.702248564846	-0.779174286224	-0.741355595341	-0.801457950751	-0.787584411671
16	-0.999690951102	0	-0.996834774309	0	-0.998937077595	-0.998419921433	-0.999922838804	-0.999909624177	-0.99878720632	-0.998702396368
17	-0.753569649293	0	-0.717775617635	0	-0.740665515787	-0.61446149256	-0.762727198053	-0.722091856524	-0.738692259121	-0.720432836652
18	-0.162328840193	0	-0.10998988672	0	-0.143184260944	0	-0.176218109334	-0.0351372006291	-0.140291454301	-0.0802175217173
