order	delay_s	left_samples	right_samples	window_s
1	0.0	19200	19200	0.4
2	1.1090354888959124	19200	19200	0.4
3	1.7577796618689756	19200	19200	0.4
4	2.218070977791825	17137	19200	0.3785104166666667
5	2.5751006598945607	14002	17137	0.32436458333333335
6	2.866815150764888	11838	14002	0.26916666666666667
7	3.113456238488501	10255	11838	0.23013541666666668
8	3.3271064666877375	9045	10255	0.20104166666666667
9	3.515559323737951	8091	9045	0.1785
