bin	sine	shifted_sine	clipper_input	clipper_shifted_output
0	0.00608167737859	0.25316998226	0.00608167737859	0.466627015192
1	0.0182692676902	0.263533794432	0.0182692676902	0.482617078059
2	0.0304991293429	0.274217092441	0.0304991293429	0.498887842722
3	0.0426125066001	0.283835136922	0.0426125066001	0.513012909196
4	0.0547937779428	0.294183807207	0.0547937779428	0.528168361067
5	0.0668283784792	0.303446584742	0.0668283784792	0.541186075205
6	0.0789767273087	0.313458116091	0.0789767273087	0.555272158313
7	0.090878366471	0.32231575167	0.090878366471	0.56716946818
8	0.102943762203	0.331956926456	0.102943762203	0.58020340397
9	0.114708709282	0.340415767198	0.114708709282	0.591058916642
10	0.12650645964	0.34913378941	0.12650645964	0.602188871177
11	0.138452842486	0.358229953589	0.138452842486	0.613800994346
12	0.149902200571	0.365959511668	0.149902200571	0.6230245846
13	0.161710732304	0.374686511643	0.161710732304	0.633757067344
14	0.172948125807	0.381932258832	0.172948125807	0.642000844575
15	0.184558409659	0.390198732787	0.184558409659	0.651803862612
16	0.195543503302	0.396965968037	0.195543503302	0.65915517491
17	0.206962909413	0.404778652917	0.206962909413	0.668106591421
18	0.21769970746	0.411068540219	0.21769970746	0.674633312853
19	0.228869227042	0.418372455591	0.228869227042	0.682727743217
20	0.239294620027	0.424153503111	0.239294620027	0.688465550095
21	0.249854040108	0.430251238386	0.249854040108	0.694706678821
22	0.260714253794	0.436938589467	0.260714253794	0.701860146527
23	0.270574479324	0.44178830442	0.270574479324	0.706275849188
24	0.281122533133	0.447950311276	0.281122533133	0.712718814795
25	0.290655643342	0.45228753274	0.290655643342	0.716488276706
26	0.300875998745	0.457890207043	0.300875998745	0.722220791481
27	0.310012032707	0.461669239846	0.310012032707	0.725340545853
28	0.319877398944	0.466717534917	0.319877398944	0.730428312194
29	0.328628369713	0.46995310439	0.328628369713	0.732960935643
30	0.337602335052	0.473604640244	0.337602335052	0.736222690117
31	0.346988156687	0.477912655764	0.346988156687	0.740555081686
32	0.355005529008	0.480162389381	0.355005529008	0.742041405103
33	0.363986728457	0.483902411162	0.363986728457	0.745816333798
34	0.371561187836	0.485577956611	0.371561187836	0.746764358491
35	0.380097719842	0.488713042674	0.380097719842	0.749960047455
36	0.387204445507	0.489818953754	0.387204445507	0.750405120023
37	0.395300360476	0.492359100726	0.395300360476	0.75305915085
38	0.401927753014	0.492883591323	0.401927753014	0.753001979609
39	0.408890536114	0.49396838615	0.408890536114	0.753875329961
40	0.416318013532	0.495582926098	0.416318013532	0.755779916104
41	0.422116354081	0.495171693952	0.422116354081	0.754866299221
42	0.42911261186	0.496322789533	0.42911261186	0.756381609957
43	0.434339246005	0.495241735172	0.434339246005	0.754898747077
44	0.440819460606	0.495790716804	0.440819460606	0.755904456159
45	0.445529125653	0.494145244542	0.445529125653	0.753962747331
46	0.451473667414	0.494063584206	0.451473667414	0.754415985148
47	0.455630437931	0.491841645084	0.455630437931	0.751988595519
48	0.4610292439	0.49114883153	0.4610292439	0.75190692501
49	0.464648078325	0.488371743939	0.464648078325	0.749010207111
50	0.468672910105	0.48611776324	0.468672910105	0.747015738569
51	0.473341945782	0.484616516411	0.473341945782	0.746261220879
52	0.475983588974	0.480859369654	0.475983588974	0.74240294964
53	0.480090769472	0.478770768846	0.480090769472	0.741097158366
54	0.48216175802	0.474460529642	0.48216175802	0.736707392733
55	0.485669702426	0.47175890268	0.485669702426	0.73478100685
56	0.487172757577	0.466926829163	0.487172757577	0.729864318885
57	0.490091110729	0.463625719874	0.490091110729	0.727302962159
58	0.491014413351	0.45826228649	0.491014413351	0.721806299206
59	0.492486742429	0.453557072935	0.492486742429	0.717314055944
60	0.494489745964	0.449287295141	0.494489745964	0.713705202262
61	0.494476024528	0.443131874103	0.494476024528	0.707200221428
62	0.496012939529	0.438498797453	0.496012939529	0.703092274103
63	0.495330676551	0.431738195071	0.495330676551	0.695803468013
64	0.496266317855	0.426564599378	0.496266317855	0.690959987754
65	0.495017943293	0.419336886392	0.495017943293	0.682990994242
66	0.495324106361	0.413592968634	0.495324106361	0.677310440541
67	0.49349598275	0.405911382789	0.49349598275	0.668607923409
68	0.493190357266	0.399639890647	0.493190357266	0.662080486087
69	0.490810706796	0.391526597877	0.490810706796	0.652617113808
70	0.48892550277	0.383894729939	0.48892550277	0.643841875058
71	0.487821120551	0.376946417716	0.487821120551	0.636096259182
72	0.48444612308	0.368096016489	0.48444612308	0.625189964903
73	0.482740607592	0.360660539457	0.482740607592	0.616474955653
74	0.4788126526	0.3514111974	0.4788126526	0.604669718808
75	0.476473974833	0.343483203824	0.476473974833	0.594893421157
76	0.472026559393	0.333899149172	0.472026559393	0.582205171555
77	0.469084312511	0.325505788451	0.469084312511	0.571339715704
78	0.464097991648	0.315568333194	0.464097991648	0.55767227398
79	0.45973547885	0.306171523741	0.45973547885	0.544679022904
80	0.455851935248	0.297032893053	0.455851935248	0.53199847985
81	0.450029724314	0.286604168318	0.450029724314	0.516769641171
82	0.445756224497	0.277256441011	0.445756224497	0.503203990265
83	0.43934670361	0.266469093024	0.43934670361	0.486835260923
84	0.434511085474	0.25675176616	0.434511085474	0.472095234603
85	0.427624077392	0.245705957498	0.427624077392	0.454694679265
86	0.422209879619	0.235611898528	0.422209879619	0.438721447238
87	0.41485705991	0.224343464121	0.41485705991	0.420310254902
88	0.408170766544	0.213530912585	0.408170766544	0.402414767039
89	0.401819516685	0.202823181821	0.401819516685	0.384451214608
90	0.393785997824	0.191267883303	0.393785997824	0.364567231429
91	0.387146242224	0.180448898155	0.387146242224	0.345770740007
92	0.378588759039	0.168661201691	0.378588759039	0.324841076508
93	0.371450888169	0.15757968105	0.371450888169	0.304959272565
94	0.362481704166	0.145643864949	0.362481704166	0.283155194342
95	0.354851570552	0.134328987187	0.354851570552	0.262267256741
96	0.345519749846	0.122300621001	0.345519749846	0.23973410303
97	0.337411354469	0.110762808784	0.337411354469	0.217906023571
98	0.32771152031	0.0986430766828	0.32771152031	0.194707381332
99	0.318460811702	0.0867202751773	0.318460811702	0.171679554403
100	0.309775083951	0.0749335672082	0.309775083951	0.148730170056
101	0.299472811932	0.0627187281948	0.299472811932	0.124764410988
102	0.290379084131	0.0508043164106	0.290379084131	0.101249751678
103	0.27978438954	0.0385924065418	0.27978438954	0.0770250008544
104	0.270305396298	0.0265792547311	0.270305396298	0.0531050243371
105	0.259436298864	0.0143774318779	0.259436298864	0.0287453424529
