input_dbfs	tanh8_thd_pct	identity_thd_pct	under_thd_pct
-70	5.36056921267e-05	0.112228440271	16.9270548444
-68.3428571429	7.83789441714e-05	0.104011078348	22.1757116176
-66.6857142857	0.000114664867707	0.0677558256532	26.4689591121
-65.0285714286	0.000167810893616	0.0857035227748	30.065132231
-63.3714285714	0.000245649039594	0.0654406540219	33.1193280741
-61.7142857143	0.000359650003239	0.0541795516531	35.6413153659
-60.0571428571	0.000526613346509	0.0362402870967	37.6329129382
-58.4	0.00077114269059	0.0304775327378	39.1427913299
-56.7428571429	0.00112927033696	0.0209691906525	40.2520471052
-55.0857142857	0.00165376471314	0.0279077221952	41.0488291884
-53.4285714286	0.00242190116246	0.0222127703004	41.6119080062
-51.7714285714	0.0035468377381	0.0180125422351	42.0056283994
-50.1142857143	0.00519426489408	0.0116112292642	42.2790335274
-48.4571428571	0.00760676651946	0.00822705206994	42.4675176794
-46.8	0.0111394476219	0.00796212993298	42.5973140587
-45.1428571429	0.0163120045679	0.00897213363952	42.6864058542
-43.4857142857	0.0238847518029	0.0072150590407	42.7475143488
-41.8285714286	0.0349694674198	0.0050955653354	42.7893103705
-40.1714285714	0.0511906625534	0.00440151618574	42.8177890016
-38.5142857143	0.0749194825868	0.00438184852025	42.8374236195
-36.8571428571	0.109611393726	0.00327971607587	42.8506760385
-35.2	0.16029038747	0.00305741640812	42.8598443458
-33.5428571429	0.234236228946	0.00208277072869	42.8660426206
-31.8857142857	0.341944996671	0.00204676856479	42.8704446493
-30.2285714286	0.498440290845	0.00127907803153	42.8733244254
-28.5714285714	0.724997880081	0.00149947086872	42.8752625212
-26.9142857143	1.05127941092	0.00197416393892	42.8765042841
-25.2571428571	1.51769642162	0.00195231753964	42.8775000007
-23.6	2.17746494637	0.00233607118076	42.8780726284
-21.9428571429	3.09719225101	0.00331340045231	42.8786234096
-20.2857142857	4.35401417202	0.00456644275615	42.8787911499
-18.6285714286	6.02669174809	0.00675195419587	42.87899415
-16.9714285714	8.17869458819	0.0099777629274	42.8792398218
-15.3142857143	10.8344509261	0.0147190931914	42.8793503023
-13.6571428571	13.9556932066	0.0216005989011	42.8793503023
-12	17.4204315231	0.0315837982923	42.8793460651
