freq_hz	identity_loud_margin_db	identity_quiet_margin_db	tanh_loud_margin_db	tanh_quiet_margin_db
20	-6.10903989374	-6.11285557229	-5.3010333629	-6.11086756575
26.2045386232	-23.7777840839	-22.4742030822	12.1481066258	-23.2296878517
34.3338922229	-28.4200504955	-1.45059581422	40.7817685564	-7.66663949851
44.985190242	-16.2228020905	1.55354065605	58.7986719501	1.55298560324
58.9408077585	-12.2949658408	0.527872380477	62.5255203562	0.526570285078
77.2258336697	-16.3338459232	2.19801736559	60.882937337	2.13342065213
101.183367055	-13.0706451677	0.0204215902381	58.5155602275	0.111709657114
132.573172502	-15.8077952451	-0.923255358692	57.6603719716	-0.803449896374
173.700940961	-11.6332386076	-0.486567017153	57.9343432967	-0.643818137317
227.587650816	-12.2825521611	2.2014186724	57.0632924077	2.1629014925
298.191469299	-15.6547015135	-1.88874559108	54.2055703887	-1.86018643658
390.698493718	-13.5648673327	-2.457881291	53.9301763165	-2.4414106538
511.903688434	-13.3680061909	-1.36743003325	52.2332012985	-1.35178763745
670.709998748	-17.4610894244	-0.905483129253	50.4035151487	-0.902513487505
878.782303359	-9.61495360852	1.26471746401	51.573451297	1.24782390305
1151.40424049	-14.5078911161	0.861101634213	48.8399006642	0.853903661881
1508.60084454	-15.1925847332	-0.132292660998	46.3390259394	-0.101354990149
1976.6094549	-12.973206088	-0.756505689775	46.6417045024	-0.772292925538
2589.80694019	-10.9422338848	0.593374340645	47.1379085643	0.608331541649
3393.23479955	-14.2155465351	0.600629399044	47.9820185185	0.632587124042
4445.90761813	-20.1592168015	0.970396690182	46.4088023877	1.01114466782
5825.14789473	-11.9516909709	2.39625555528	49.8309282193	2.37275168924
7632.26564968	-10.8182018084	-0.0530554287651	-16.3065455236	-0.0530554309932
10000	3.25514745272	-1.70229987361	-0.860033073822	-1.70254064627
