order	bare_db	coupled_db
0	-17.574509306727414	-240.0
1	-4.311124006771345	-4.326170627883228
2	-22.452720012347115	-22.45366192790307
3	-27.811450710307323	-27.811636774979096
4	-32.46907205047859	-32.469130919416266
5	-49.4021152235929	-49.40213933432478
6	-40.099431425115874	-40.09944305138217
7	-70.84734568685873	-70.84735196164964
8	-45.550039150909626	-45.550042828549934
9	-92.27610068110396	-92.27610297666237
