order	f0_hz	mag_db	expected_db	valid
1	30.000000000000004	4.203331044524044	4.208250638674279	1
1	33.94685347939	4.206614381976782	4.208250638674279	1
1	38.41296203837241	4.208034049635896	4.208250638674279	1
1	43.46663980086661	4.208153289283338	4.208250638674279	1
1	49.18518841871466	4.208186877861812	4.208250638674279	1
1	55.65607948687654	4.2082656171697765	4.208250638674279	1
1	62.97829251927601	4.208248290775293	4.208250638674279	1
1	71.26382895113416	4.208257967191391	4.208250638674279	1
1	80.63942532614878	4.20825236702904	4.208250638674279	1
1	91.24849187363274	4.208252869496142	4.208250638674279	1
1	103.25330612831728	4.208250052134835	4.208250638674279	1
1	116.83749514668631	4.208251555049846	4.208250638674279	1
1	132.2088442881166	4.20825112466312	4.208250638674279	1
1	149.60247552427265	4.208250266766413	4.208250638674279	1
1	169.2844438925503	4.208250446740508	4.208250638674279	1
1	191.55580710534733	4.208250794327568	4.208250638674279	1
1	216.75723056438406	4.208250765172547	4.208250638674279	1
1	245.27419821891658	4.20825063892738	4.208250638674279	1
1	277.5429089737472	4.208250647376283	4.208250638674279	1
1	314.05694883918255	4.208250613007253	4.208250638674279	1
1	355.3748408809335	4.208250644286347	4.208250638674279	1
1	402.12858845488597	4.208250645459331	4.208250638674279	1
1	455.0333424050646	4.208250638385985	4.208250638674279	1
1	514.898340095394	4.208250637239901	4.208250638674279	1
1	582.6392835999818	4.208250637982144	4.208250638674279	1
1	659.2923463901776	4.208250635461967	4.208250638674279	1
1	746.0300227663528	4.208250640364383	4.208250638674279	1
1	844.1790624691791	4.208250637426689	4.208250638674279	1
1	955.2407648003342	4.208250638833808	4.208250638674279	1
1	1080.9139426739125	4.208250639404227	4.208250638674279	1
1	1223.1209078593693	4.208250638267571	4.208250638674279	1
1	1384.0368748893488	4.208250638356083	4.208250638674279	1
1	1566.1232333980508	4.208250638909011	4.208250638674279	1
1	1772.1651978277387	4.208250638727674	4.208250638674279	1
1	2005.314410397745	4.208250638724118	4.208250638674279	1
1	2269.137148996054	4.208250638591754	4.208250638674279	1
1	2567.668877386994	4.2082506386542615	4.208250638674279	1
1	2905.4759721415326	4.208250638690986	4.208250638674279	1
1	3287.725570472562	4.208250638668524	4.208250638674279	1
1	3720.264607375867	4.208250638682461	4.208250638674279	1
1	4209.709251038291	4.208250638659779	4.208250638674279	1
1	4763.546104527652	4.208250638446597	4.208250638674279	1
1	5390.2467217572985	4.208250638424765	4.208250638674279	1
1	6099.397189375245	4.208250604467137	4.208250638674279	1
1	6901.844756677489	4.2082512425253835	4.208250638674279	1
1	7809.863756414217	4.208253504499805	4.208250638674279	1
1	8837.343354433064	4.208268863585438	4.208250638674279	1
1	10000.0	-6.956403028826726	4.208250638674279	1
3	30.000000000000004	-19.29190400530693	-19.29207606486171	1
3	33.94685347939	-19.292082492439853	-19.29207606486171	1
3	38.41296203837241	-19.29206143089752	-19.29207606486171	1
3	43.46663980086661	-19.292067497868082	-19.29207606486171	1
3	49.18518841871466	-19.292078335393395	-19.29207606486171	1
3	55.65607948687654	-19.292076148663835	-19.29207606486171	1
3	62.97829251927601	-19.29207671788416	-19.29207606486171	1
3	71.26382895113416	-19.292076502672767	-19.29207606486171	1
3	80.63942532614878	-19.29207596697517	-19.29207606486171	1
3	91.24849187363274	-19.29207622174106	-19.29207606486171	1
3	103.25330612831728	-19.292076064532104	-19.29207606486171	1
3	116.83749514668631	-19.292076022915463	-19.29207606486171	1
3	132.2088442881166	-19.29207604050177	-19.29207606486171	1
3	149.60247552427265	-19.29207608829191	-19.29207606486171	1
3	169.2844438925503	-19.292076077486268	-19.29207606486171	1
3	191.55580710534733	-19.292076069896204	-19.29207606486171	1
3	216.75723056438406	-19.29207606094652	-19.29207606486171	1
3	245.27419821891658	-19.292076061900794	-19.29207606486171	1
3	277.5429089737472	-19.292076066917364	-19.29207606486171	1
3	314.05694883918255	-19.292076065191623	-19.29207606486171	1
