t_s	h_db
-2.67	-118.43135907
-2.665	-128.753143766
-2.66	-134.842074638
-2.655	-130.902283626
-2.65	-140.18525331
-2.645	-121.75777983
-2.64	-127.020692858
-2.635	-117.322638953
-2.63	-127.146704719
-2.625	-118.101200539
-2.62	-129.161353274
-2.615	-125.448443588
-2.61	-130.087077094
-2.605	-115.134378786
-2.6	-109.863181723
-2.595	-129.131524921
-2.59	-109.713519477
-2.585	-109.977877946
-2.58	-101.200216394
-2.575	-71.0709716486
-2.57	-91.1061880406
-2.565	-95.6372663576
-2.56	-94.3705292172
-2.555	-101.827981518
-2.55	-93.4268101698
-2.545	-93.9652898205
-2.54	-92.0544598321
-2.535	-99.4859034181
-2.53	-92.0473675102
-2.525	-93.7411255702
-2.52	-93.2237580726
-2.515	-98.9044821742
-2.51	-94.0043957452
-2.505	-95.8443746019
-2.5	-92.7786033085
-2.495	-96.10866537
-2.49	-93.2009218262
-2.485	-96.8947451859
-2.48	-94.640308594
-2.475	-94.5390004084
-2.47	-94.0847052125
-2.465	-97.1015177871
-2.46	-95.8611163899
-2.455	-101.988351257
-2.45	-128.659471478
-2.445	-116.242501344
-2.44	-121.991016276
-2.435	-116.283651363
-2.43	-117.142273469
-2.425	-116.756040241
-2.42	-121.93419507
-2.415	-116.967459105
-2.41	-143.603056919
-2.405	-124.130565006
-2.4	-128.1633035
-2.395	-115.371029413
-2.39	-134.443808782
-2.385	-122.453630896
-2.38	-120.864899057
-2.375	-115.521279229
-2.37	-116.01022601
-2.365	-120.277940732
-2.36	-139.179821641
-2.355	-119.71746748
-2.35	-117.958143068
-2.345	-119.563396478
-2.34	-119.138531239
-2.335	-120.63132109
-2.33	-114.923620904
-2.325	-120.901549983
-2.32	-114.253996737
-2.315	-115.502811878
-2.31	-124.977408177
-2.305	-118.41860395
-2.3	-117.368098847
-2.295	-114.142820206
-2.29	-128.323303259
-2.285	-116.483281556
-2.28	-128.744848555
-2.275	-116.690851549
-2.27	-124.935736069
-2.265	-125.365553344
-2.26	-118.438671244
-2.255	-124.716256107
-2.25	-114.63090089
-2.245	-120.885570893
-2.24	-117.138329736
-2.235	-122.271466066
-2.23	-119.196801857
-2.225	-124.050463053
-2.22	-115.676811709
-2.215	-114.990735208
-2.21	-117.095198933
-2.205	-121.888074327
-2.2	-183.605036622
-2.195	-113.989549556
-2.19	-125.689131229
-2.185	-125.939260527
-2.18	-131.923296021
-2.175	-124.360483805
-2.17	-128.457554977
-2.165	-114.033925012
-2.16	-124.19294366
-2.155	-119.468666566
-2.15	-113.24058233
-2.145	-120.032283112
-2.14	-115.344952546
-2.135	-115.266564781
-2.13	-117.512696703
-2.125	-112.873112503
-2.12	-120.895160056
-2.115	-118.064002928
-2.11	-115.775740803
-2.105	-128.150650863
-2.1	-128.366742822
-2.095	-125.707787507
-2.09	-115.092600058
-2.085	-115.121427874
-2.08	-114.275603259
-2.075	-125.890313171
-2.07	-114.220116058
-2.065	-135.120002131
-2.06	-113.042414902
-2.055	-119.950149114
-2.05	-132.220427698
-2.045	-120.130965761
-2.04	-122.72084417
-2.035	-116.665784796
-2.03	-124.194259943
-2.025	-143.748480456
-2.02	-116.537863508
-2.015	-113.756274451
-2.01	-111.385760833
-2.005	-121.306924257
-2	-121.436834994
-1.995	-130.613069312
-1.99	-120.476617116
-1.985	-155.964133368
-1.98	-119.889776719
-1.975	-110.515016279
-1.97	-132.110122041
-1.965	-116.939163416
-1.96	-122.874832338
-1.955	-111.762397542
-1.95	-119.667327266
-1.945	-116.751293423
-1.94	-119.548361574
-1.935	-135.949850786
-1.93	-110.73848923
-1.925	-120.087191576
-1.92	-124.661346773
-1.915	-115.949270796
-1.91	-111.42377193
-1.905	-124.756322685
-1.9	-124.420467414
-1.895	-108.85559066
-1.89	-114.969607745
-1.885	-123.249032404
-1.88	-108.164394591
-1.875	-113.942169147
-1.87	-117.751181549
-1.865	-107.854006151
-1.86	-114.695745168
-1.855	-115.120876908
-1.85	-106.705950027
-1.845	-125.030429998
-1.84	-110.978880759
-1.835	-107.367957835
-1.83	-115.463025674
-1.825	-104.626964576
-1.82	-111.906112098
-1.815	-112.203193911
-1.81	-102.963890873
-1.805	-108.682607247
-1.8	-105.270691791
-1.795	-101.195448292
-1.79	-123.371379127
-1.785	-98.7762904817
-1.78	-99.0738089639
-1.775	-102.658555711
-1.77	-89.9558972447
-1.765	-121.942240936
-1.76	-93.8527955358
-1.755	-77.656493391
-1.75	-93.6169131675
-1.745	-90.7915262604
-1.74	-100.545016929
-1.735	-99.1240750883
-1.73	-97.903370467
-1.725	-119.141481939
-1.72	-101.649619245
-1.715	-110.193186687
-1.71	-107.034618264
-1.705	-102.519631245
-1.7	-141.668257337
-1.695	-104.987354252
-1.69	-115.156635987
-1.685	-108.516774616
-1.68	-106.914152517
-1.675	-111.646727194
-1.67	-108.33695977
-1.665	-120.745204333
-1.66	-108.830904176
-1.655	-121.675456338
-1.65	-108.893006229
-1.645	-115.108764983
-1.64	-150.312172765
-1.635	-114.323028907
-1.63	-131.567705504
-1.625	-109.777144724
-1.62	-119.937859345
-1.615	-119.281378408
-1.61	-111.622972774
-1.605	-115.075961156
-1.6	-113.860445916
-1.595	-118.06504802
-1.59	-111.688500058
-1.585	-122.566126338
-1.58	-117.416981198
-1.575	-123.705745635
-1.57	-123.362832237
-1.565	-117.397904504
-1.56	-115.933329794
-1.555	-120.936239362
-1.55	-123.868753479
-1.545	-117.247033807
-1.54	-123.782197117
-1.535	-118.093130722
-1.53	-131.731725051
-1.525	-117.205013468
-1.52	-155.990979607
-1.515	-118.03899921
-1.51	-134.130907382
-1.505	-119.058077667
-1.5	-136.297311445
-1.495	-120.786682462
-1.49	-130.410459212
-1.485	-119.94382758
-1.48	-130.628578025
-1.475	-123.274270543
-1.47	-127.266804271
-1.465	-122.485302098
-1.46	-128.636668028
-1.455	-124.486087925
-1.45	-127.111696258
-1.445	-125.20424843
-1.44	-129.93156356
-1.435	-125.996571691
-1.43	-129.441612466
-1.425	-127.848491034
-1.42	-134.19770318
-1.415	-127.792217557
-1.41	-133.752270857
-1.405	-130.951943149
-1.4	-145.433823849
-1.395	-131.196449924
-1.39	-144.405669894
-1.385	-136.105211564
-1.38	-142.14231405
-1.375	-138.877120652
-1.37	-145.791574702
-1.365	-167.397432323
-1.36	-135.660448666
-1.355	-138.892873343
-1.35	-139.763736055
-1.345	-139.129756858
-1.34	-137.171907487
-1.335	-128.903069535
-1.33	-147.009249565
-1.325	-133.334165271
-1.32	-136.698359236
-1.315	-128.759256359
-1.31	-127.821887669
-1.305	-129.712420094
-1.3	-127.049518975
-1.295	-133.149913983
-1.29	-125.101027149
-1.285	-145.127782929
-1.28	-123.804958947
-1.275	-135.646884732
-1.27	-122.228441518
-1.265	-126.995103645
-1.26	-125.824723468
-1.255	-123.963889923
-1.25	-126.024773322
-1.245	-120.857877094
-1.24	-152.195538892
-1.235	-120.343742069
-1.23	-132.122671441
-1.225	-119.889546054
-1.22	-121.593018887
-1.215	-122.524728574
-1.21	-118.665616311
-1.205	-129.41669669
-1.2	-117.393446039
-1.195	-127.604163717
-1.19	-118.490020243
-1.185	-120.973815342
-1.18	-121.173755459
-1.175	-116.434350623
-1.17	-137.037010502
-1.165	-116.007448478
-1.16	-123.957367166
-1.155	-116.36560049
-1.15	-116.949209973
-1.145	-122.925935753
-1.14	-115.041249626
-1.135	-131.850991356
-1.13	-114.39900284
-1.125	-117.309500866
-1.12	-119.120944272
-1.115	-113.777552435
-1.11	-137.797497149
-1.105	-113.154565313
-1.1	-117.633169914
-1.095	-117.170828779
-1.09	-113.085165285
-1.085	-135.250954682
-1.08	-112.252047704
-1.075	-117.184239008
-1.07	-115.986700225
-1.065	-112.335691188
-1.06	-140.42964853
-1.055	-111.536065706
-1.05	-115.072684876
-1.045	-116.633148228
-1.04	-111.052297391
-1.035	-128.245549611
-1.03	-111.669337537
-1.025	-112.843231473
-1.02	-120.365336842
-1.015	-110.287417414
-1.01	-118.545068914
-1.005	-112.402248492
-1	-110.47569428
-0.995	-146.263161644
-0.99	-110.027522705
-0.985	-112.855521731
-0.98	-116.052496975
-0.975	-109.051077373
-0.97	-117.503277106
-0.965	-111.801426904
-0.96	-109.490235535
-0.955	-146.108491867
-0.95	-109.017661947
-0.945	-110.808802237
-0.94	-118.411218197
-0.935	-107.970267339
-0.93	-113.726454782
-0.925	-112.970044449
-0.92	-107.596699891
-0.915	-117.890202529
-0.91	-109.933152811
-0.905	-107.894379091
-0.9	-132.381777016
-0.895	-108.011494537
-0.89	-108.334553784
-0.885	-124.843645838
-0.88	-107.075538
-0.875	-109.599280989
-0.87	-116.46976205
-0.865	-106.297272013
-0.86	-110.385341893
-0.855	-113.39027189
-0.85	-106.08024532
-0.845	-111.9650995
-0.84	-111.223846498
-0.835	-105.545557082
-0.83	-112.882145602
-0.825	-110.340172044
-0.82	-105.487035924
-0.815	-113.774924105
-0.81	-109.161987239
-0.805	-105.152475688
-0.8	-113.458480763
-0.795	-108.957830469
-0.79	-104.875952645
-0.785	-113.690101629
-0.78	-108.687947472
-0.775	-104.372963921
-0.77	-112.349073553
-0.765	-108.827870192
-0.76	-104.157547254
-0.755	-111.073817618
-0.75	-109.535688028
-0.745	-103.795794091
-0.74	-109.141237313
-0.735	-110.814550399
-0.73	-103.552832235
-0.725	-107.535075684
-0.72	-113.160600302
-0.715	-103.485577691
-0.71	-105.744441495
-0.705	-119.218950819
-0.7	-103.669460381
-0.695	-104.408236463
-0.69	-140.344706887
-0.685	-104.296278153
-0.68	-103.032708633
-0.675	-115.209129141
-0.67	-105.892127919
-0.665	-102.30857551
-0.66	-108.913021982
-0.655	-108.636244253
-0.65	-101.95343067
-0.645	-105.332454642
-0.64	-115.623473825
-0.635	-102.505823214
-0.63	-102.98999731
-0.625	-122.942973976
-0.62	-103.900809684
-0.615	-101.458798279
-0.61	-108.908062082
-0.605	-107.341979115
-0.6	-101.140568258
-0.595	-104.078433865
-0.59	-117.339042841
-0.585	-101.85854542
-0.58	-101.353666743
-0.575	-112.811179295
-0.57	-104.555417718
-0.565	-100.342683411
-0.56	-104.564978598
-0.555	-112.179927389
-0.55	-100.824940198
-0.545	-100.916725642
-0.54	-113.587175843
-0.535	-103.677728748
-0.53	-99.7185679742
-0.525	-103.715289064
-0.52	-113.050101569
-0.515	-100.381661848
-0.51	-99.9651921477
-0.505	-109.791144741
-0.5	-104.397244742
-0.495	-99.0915449373
-0.49	-101.564938691
-0.485	-127.712440846
-0.48	-100.849098049
-0.475	-98.6618290573
-0.47	-104.362303117
-0.465	-108.290184402
-0.46	-98.9372727579
-0.455	-99.0502152039
-0.45	-109.501868742
-0.445	-103.357525581
-0.44	-97.9162114614
-0.435	-99.8203755074
-0.43	-121.223744505
-0.425	-100.696017081
-0.42	-97.3942653089
-0.415	-101.03711536
-0.41	-116.286915827
-0.405	-98.9917022925
-0.4	-97.1251895762
-0.395	-102.232562993
-0.39	-109.170946857
-0.385	-97.8178634002
-0.38	-96.9350950353
-0.375	-103.348356402
-0.37	-105.841384025
-0.365	-96.9544925918
-0.36	-96.6097822372
-0.355	-104.024752412
-0.35	-104.198787549
-0.345	-96.3521514786
-0.34	-96.2605254635
-0.335	-104.025853255
-0.33	-103.371502159
-0.325	-95.7749165657
-0.32	-95.6453014854
-0.315	-102.952549964
-0.31	-103.459326624
-0.305	-95.3799675289
-0.3	-94.9552593152
-0.295	-101.343535085
-0.29	-104.412940369
-0.285	-95.1063505912
-0.28	-94.1081010616
-0.275	-99.2400097156
-0.27	-107.424302351
-0.265	-95.1161197835
-0.26	-93.26901498
-0.255	-96.9857529711
-0.25	-117.700856439
-0.245	-95.5519533425
-0.24	-92.5073696605
-0.235	-94.748222805
-0.23	-110.313756547
-0.225	-96.7430035923
-0.22	-92.0164300316
-0.215	-92.7725852572
-0.21	-101.04705742
-0.205	-99.5683990181
-0.2	-91.9220417306
-0.195	-91.0951187998
-0.19	-95.6473404478
-0.185	-108.39247519
-0.18	-92.674823681
-0.175	-89.8821940518
-0.17	-91.9293306087
-0.165	-105.027771038
-0.16	-94.9558866922
-0.155	-89.3297218054
-0.15	-89.1998026761
-0.145	-94.7018974313
-0.14	-102.171441872
-0.135	-89.8545755211
-0.13	-87.3886990782
-0.125	-89.4289592738
-0.12	-101.952194101
-0.115	-92.5247067
-0.11	-86.6183652727
-0.105	-85.9285327562
-0.1	-90.3001673358
-0.095	-104.955192623
-0.09	-87.3767637715
-0.085	-83.8226427732
-0.08	-84.6693151265
-0.075	-91.6464273005
-0.07	-92.5100720844
-0.065	-83.0181433793
-0.06	-80.7661216405
-0.055	-82.5589469186
-0.05	-94.6071326942
-0.045	-85.4432312001
-0.04	-78.2623949558
-0.035	-76.0103452817
-0.03	-77.8263233083
-0.025	-94.4097271783
-0.02	-74.1414566084
-0.015	-74.4369836825
-0.01	-66.87478115
-0.005	-59.6681585164
0	-9.45930865378
0.005	-55.867583863
0.01	-70.5094982561
0.015	-67.0916769366
0.02	-79.8274520841
0.025	-115.539320833
0.03	-80.3696110293
0.035	-77.1042988038
0.04	-78.0335046832
0.045	-82.9153482469
