t_ms	level_dbfs
-20	-41.8285714286
-19.9166666667	-41.8285714286
-19.8333333333	-41.8285714286
-19.75	-41.8285714286
-19.6666666667	-41.8285714286
-19.5833333333	-41.8285714286
-19.5	-41.8285714286
-19.4166666667	-41.8285714286
-19.3333333333	-41.8285714286
-19.25	-41.8285714286
-19.1666666667	-41.8285714286
-19.0833333333	-41.8285714286
-19	-41.8285714286
-18.9166666667	-41.8285714286
-18.8333333333	-41.8285714286
-18.75	-41.8285714286
-18.6666666667	-41.8285714286
-18.5833333333	-41.8285714286
-18.5	-41.8285714286
-18.4166666667	-41.8285714286
-18.3333333333	-41.8285714286
-18.25	-41.8285714286
-18.1666666667	-41.8285714286
-18.0833333333	-41.8285714286
-18	-41.8285714286
-17.9166666667	-41.8285714286
-17.8333333333	-41.8285714286
-17.75	-41.8285714286
-17.6666666667	-41.8285714286
-17.5833333333	-41.8285714286
-17.5	-41.8285714286
-17.4166666667	-41.8285714286
-17.3333333333	-41.8285714286
-17.25	-41.8285714286
-17.1666666667	-41.8285714286
-17.0833333333	-41.8285714286
-17	-41.8285714286
-16.9166666667	-41.8285714286
-16.8333333333	-41.8285714286
-16.75	-41.8285714286
-16.6666666667	-41.8285714286
-16.5833333333	-41.8285714286
-16.5	-41.8285714286
-16.4166666667	-41.8285714286
-16.3333333333	-41.8285714286
-16.25	-41.8285714286
-16.1666666667	-41.8285714286
-16.0833333333	-41.8285714286
-16	-41.8285714286
-15.9166666667	-41.8285714286
-15.8333333333	-41.8285714286
-15.75	-41.8285714286
-15.6666666667	-41.8285714286
-15.5833333333	-41.8285714286
-15.5	-41.8285714286
-15.4166666667	-41.8285714286
-15.3333333333	-41.8285714286
-15.25	-41.8285714286
-15.1666666667	-41.8285714286
-15.0833333333	-41.8285714286
-15	-41.8285714286
-14.9166666667	-41.8285714286
-14.8333333333	-41.8285714286
-14.75	-41.8285714286
-14.6666666667	-41.8285714286
-14.5833333333	-41.8285714286
-14.5	-41.8285714286
-14.4166666667	-41.8285714286
-14.3333333333	-41.8285714286
-14.25	-41.8285714286
-14.1666666667	-41.8285714286
-14.0833333333	-41.8285714286
-14	-41.8285714286
-13.9166666667	-41.8285714286
-13.8333333333	-41.8285714286
-13.75	-41.8285714286
-13.6666666667	-41.8285714286
-13.5833333333	-41.8285714286
-13.5	-41.8285714286
-13.4166666667	-41.8285714286
-13.3333333333	-41.8285714286
-13.25	-41.8285714286
-13.1666666667	-41.8285714286
-13.0833333333	-41.8285714286
-13	-41.8285714286
-12.9166666667	-41.8285714286
-12.8333333333	-41.8285714286
-12.75	-41.8285714286
-12.6666666667	-41.8285714286
-12.5833333333	-41.8285714286
-12.5	-41.8285714286
-12.4166666667	-41.8285714286
-12.3333333333	-41.8285714286
-12.25	-41.8285714286
-12.1666666667	-41.8285714286
-12.0833333333	-41.8285714286
-12	-41.8285714286
-11.9166666667	-41.8285714286
-11.8333333333	-41.8285714286
-11.75	-41.8285714286
-11.6666666667	-41.8285714286
-11.5833333333	-41.8285714286
-11.5	-41.8285714286
-11.4166666667	-41.8285714286
-11.3333333333	-41.8285714286
-11.25	-41.8285714286
-11.1666666667	-41.8285714286
-11.0833333333	-41.8285714286
-11	-41.8285714286
-10.9166666667	-41.8285714286
-10.8333333333	-41.8285714286
-10.75	-41.8285714286
-10.6666666667	-41.8285714286
-10.5833333333	-41.8285714286
-10.5	-41.8285714286
-10.4166666667	-41.8285714286
-10.3333333333	-41.8285714286
-10.25	-41.8285714286
-10.1666666667	-41.8285714286
-10.0833333333	-41.8285714286
-10	-41.8285714286
-9.91666666667	-41.8285714286
-9.83333333333	-41.8285714286
-9.75	-41.8285714286
-9.66666666667	-41.8285714286
-9.58333333333	-41.8285714286
-9.5	-41.8285714286
-9.41666666667	-41.8285714286
-9.33333333333	-41.8285714286
-9.25	-41.8285714286
-9.16666666667	-41.8285714286
-9.08333333333	-41.8285714286
-9	-41.8285714286
-8.91666666667	-41.8285714286
-8.83333333333	-41.8285714286
-8.75	-41.8285714286
-8.66666666667	-41.8285714286
-8.58333333333	-41.8285714286
-8.5	-41.8285714286
-8.41666666667	-41.8285714286
-8.33333333333	-41.8285714286
-8.25	-41.8285714286
-8.16666666667	-41.8285714286
-8.08333333333	-41.8285714286
-8	-41.8285714286
-7.91666666667	-41.8285714286
-7.83333333333	-41.8285714286
-7.75	-41.8285714286
-7.66666666667	-41.8285714286
-7.58333333333	-41.8285714286
-7.5	-41.8285714286
-7.41666666667	-41.8285714286
-7.33333333333	-41.8285714286
-7.25	-41.8285714286
-7.16666666667	-41.8285714286
-7.08333333333	-41.8285714286
-7	-41.8285714286
-6.91666666667	-41.8285714286
-6.83333333333	-41.8285714286
-6.75	-41.8285714286
-6.66666666667	-41.8285714286
-6.58333333333	-41.8285714286
-6.5	-41.8285714286
-6.41666666667	-41.8285714286
-6.33333333333	-41.8285714286
-6.25	-41.8285714286
-6.16666666667	-41.8285714286
-6.08333333333	-41.8285714286
-6	-41.8285714286
-5.91666666667	-41.8285714286
-5.83333333333	-41.8285714286
-5.75	-41.8285714286
-5.66666666667	-41.8285714286
-5.58333333333	-41.8285714286
-5.5	-41.8285714286
-5.41666666667	-41.8285714286
-5.33333333333	-41.8285714286
-5.25	-41.8285714286
-5.16666666667	-41.8285714286
-5.08333333333	-41.8285714286
-5	-41.8285714286
-4.91666666667	-41.8285714286
-4.83333333333	-41.8285714286
-4.75	-41.8285714286
-4.66666666667	-41.8285714286
-4.58333333333	-41.8285714286
-4.5	-41.8285714286
-4.41666666667	-41.8285714286
-4.33333333333	-41.8285714286
-4.25	-41.8285714286
-4.16666666667	-41.8285714286
-4.08333333333	-41.8285714286
-4	-41.8285714286
-3.91666666667	-41.8285714286
-3.83333333333	-41.8285714286
-3.75	-41.8285714286
-3.66666666667	-41.8285714286
-3.58333333333	-41.8285714286
-3.5	-41.8285714286
-3.41666666667	-41.8285714286
-3.33333333333	-41.8285714286
-3.25	-41.8285714286
-3.16666666667	-41.8285714286
-3.08333333333	-41.8285714286
-3	-41.8285714286
-2.91666666667	-41.8285714286
-2.83333333333	-41.8285714286
-2.75	-41.8285714286
-2.66666666667	-41.8285714286
-2.58333333333	-41.8285714286
-2.5	-41.8285714286
-2.41666666667	-41.8285714286
-2.33333333333	-41.8285714286
-2.25	-41.8285714286
-2.16666666667	-41.8285714286
-2.08333333333	-41.8285714286
-2	-41.8285714286
-1.91666666667	-41.8285714286
-1.83333333333	-41.8285714286
-1.75	-41.8285714286
-1.66666666667	-41.8285714286
-1.58333333333	-41.8285714286
-1.5	-41.8285714286
-1.41666666667	-41.8285714286
-1.33333333333	-41.8285714286
-1.25	-41.8285714286
-1.16666666667	-41.8285714286
-1.08333333333	-41.8285714286
-1	-41.8285714286
-0.916666666667	-41.8285714286
-0.833333333333	-41.8285714286
-0.75	-41.8285714286
-0.666666666667	-41.8285714286
-0.583333333333	-41.8285714286
-0.5	-41.8285714286
-0.416666666667	-41.8285714286
-0.333333333333	-41.8285714286
-0.25	-41.8285714286
-0.166666666667	-41.8285714286
-0.0833333333333	-41.8285714286
0	-41.8285714286
0.0833333333333	-41.8284932197
0.166666666667	-41.8282586107
0.25	-41.8278676543
0.333333333333	-41.8273204389
0.416666666667	-41.8266170875
0.5	-41.8257577586
0.583333333333	-41.8247426458
0.666666666667	-41.8235719775
0.75	-41.8222460173
0.833333333333	-41.8207650633
0.916666666667	-41.8191294486
1	-41.8173395408
1.08333333333	-41.8153957418
1.16666666667	-41.8132984881
1.25	-41.8110482499
1.33333333333	-41.8086455319
1.41666666667	-41.8060908721
1.5	-41.8033848422
1.58333333333	-41.8005280475
1.66666666667	-41.7975211262
1.75	-41.7943647493
1.83333333333	-41.7910596207
1.91666666667	-41.7876064765
2	-41.7840060851
2.08333333333	-41.7802592465
2.16666666667	-41.7763667924
2.25	-41.7723295858
2.33333333333	-41.7681485204
2.41666666667	-41.7638245207
2.5	-41.7593585415
2.58333333333	-41.7547515672
2.66666666667	-41.7500046122
2.75	-41.7451187199
2.83333333333	-41.7400949625
2.91666666667	-41.7349344407
3	-41.7296382833
3.08333333333	-41.7242076469
3.16666666667	-41.7186437151
3.25	-41.7129476986
3.33333333333	-41.7071208344
3.41666666667	-41.7011643855
3.5	-41.6950796407
3.58333333333	-41.6888679138
3.66666666667	-41.6825305432
3.75	-41.6760688917
3.83333333333	-41.6694843459
