order	tanh_db	hardclip_db	asymmetric_db
1	4.208250638674279	-11.939652397337957	1.709475906508281
2	-325.1123953170997	-349.1947949702182	-16.432120099067486
3	-19.29207606486171	-21.95548581446684	-21.790850797027712
4	-337.15359514365895	-342.205094926858	-26.448472137198962
5	-40.88274057814733	-27.37219001566882	-43.38151531031332
6	-334.14329518701913	-339.1947949702182	-34.07883151183626
7	-62.32797104141329	-31.85869265945587	-64.82674577357935
8	-343.1741950569386	-348.22569484013763	-39.52943923763
9	-83.75672603566493	-36.34814399627533	-86.25550076783107
