order	measured_db_re_note	truth_db_re_note
1	0	0
2	-118.098119327	-323.663464234
3	-34.0715151635	-34.0718738793
4	-117.605605577	-330.38987489
5	-66.4835660548	-66.4713063709
6	-129.561642473	-332.694364104
7	-98.5308247174	-98.7571886453
8	-116.491874028	-336.10233533
9	-119.682084229	-131.031530129
