bin	input_E2	output_E2	input_A4	output_A4	input_C7	output_C7
0	0.006081677378587083	0.13810171397918508	0.00585325088376796	0.4933366911187083	0.006073150724077144	0.2707729734181542
1	0.01826926769024528	0.14974608032292153	0.018213114179697384	0.49447452749002574	0.018139886493722304	0.2795736551516936
2	0.030499129342866166	0.16157045321611782	0.030547874071063453	0.4952909097600132	0.030343944571967586	0.29046014236202117
3	0.04261250660009089	0.1727901133646942	0.04289199626250195	0.4963683934053144	0.0424904133809616	0.30053444968449655
4	0.05479377794278558	0.1844117331676467	0.05455875379729745	0.49694672317662836	0.054519484850716976	0.3097347406743811
5	0.06682837847921393	0.1954017987012612	0.06686389814563035	0.49729494561904775	0.06646727746176576	0.3185548342693828
6	0.07897672730866948	0.20682761016669576	0.07894814419867786	0.4961330156940068	0.07843525466171436	0.3276332593519404
7	0.09087836647101895	0.21753445756841525	0.09050669468045618	0.4958143691216431	0.09069451194796246	0.33780939847264224
8	0.1029437622026205	0.22872146531003998	0.10272967406912883	0.49550462702758874	0.10229119796359157	0.3454738980280629
9	0.11470870928189224	0.23914639795280077	0.11476226499157134	0.49422141092977223	0.11429770926535206	0.35460299181705246
10	0.12650645963973484	0.2497140554758134	0.12666177816337282	0.4924926535277967	0.12643334264969341	0.3640201183174567
11	0.1384528424858058	0.2605560685336803	0.13871021863025015	0.4913181461523137	0.13730511542118976	0.3698495213971227
12	0.1499022005707073	0.27043132639494133	0.14997984629091007	0.4896082151949678	0.14912715941604576	0.37831058146476826
13	0.1617107323044762	0.2810016293981041	0.16147904829816895	0.4865272831154126	0.16115630126353447	0.38729809476120036
14	0.17294812580687338	0.29051500824396376	0.17311282012932713	0.48394460324213423	0.17236262630952856	0.3941815842118351
15	0.18455840965906128	0.3007407251040798	0.18410038441603865	0.48135517035847863	0.1833751300305675	0.40068634428079847
16	0.19554350330209885	0.3098715906388269	0.195700260617275	0.4786148160316487	0.19546537228023242	0.409537106411946
17	0.20696290941283654	0.3197599790307908	0.2069316843116118	0.4749629418633867	0.20530436087564666	0.41369659177069296
18	0.21769970746040831	0.3285110104939904	0.2179338946744483	0.47082014042682874	0.21661802351735077	0.4208590778558968
19	0.22886922704177165	0.3380034252777247	0.22927471757364618	0.4673813154585627	0.22810985027283978	0.42832398103476416
20	0.23929462002666102	0.34632603342837626	0.23924978689454485	0.4625454028768401	0.23853117598183698	0.43377152099766414
21	0.2498540401075279	0.35487754145267275	0.24999241100917513	0.4578861716582972	0.24908703855795464	0.4394236626362211
22	0.2607142537944664	0.36388524083941964	0.2606826689795663	0.4531498285990207	0.2589857492581661	0.44400974776572305
23	0.2705744793238652	0.3714281687124126	0.27067428284416556	0.44840485131285857	0.2696912809394038	0.4499832329076858
24	0.2811225331330087	0.37999950618973427	0.2811607294192179	0.44328687223861346	0.27940453258385	0.4542395232783343
25	0.2906556433416393	0.3871040985337832	0.29120879758749935	0.4374526133548081	0.29007284213848145	0.46001351376696453
26	0.300875998745277	0.3952135065565613	0.3008790007382539	0.431082509543137	0.30013029693823573	0.4649092222837289
27	0.31001203270716116	0.40182044680856654	0.31049768232004127	0.4246350126885596	0.3085630914217424	0.4671912133023396
28	0.31987739894353046	0.40945659309426863	0.31965403856577446	0.41859112605860377	0.3179229647201398	0.4709467045753429
29	0.32862836971312337	0.4155796979070588	0.3288923724686842	0.41164858710296465	0.32756617566267404	0.475176854178156
30	0.3376023350522367	0.4220304267499897	0.3382887033700844	0.4049384970137698	0.33670892707655226	0.47857512502509886
31	0.346988156687452	0.42903121223003726	0.3468982618525203	0.3982104808653118	0.3448808426170816	0.48063361382125175
32	0.35500552900758064	0.43426033232736816	0.35582524455088643	0.39087868722321506	0.35509614345129475	0.48553055606529066
33	0.363986728456628	0.44075564501628645	0.3636525962568081	0.38237846623527494	0.36180889839715635	0.4856160778464754
34	0.3715611878364124	0.4454555761943121	0.37231427018221774	0.3747754501816008	0.3693138392683141	0.4868352741524386
35	0.38009771984245433	0.45140581218006626	0.3802572416286997	0.3664042877696545	0.37901366435275563	0.49091095169425103
36	0.3872044455072048	0.455566458476743	0.38780671895617336	0.3585114254133877	0.3862148115574528	0.4917567842814622
37	0.39530036047581457	0.4609788902766222	0.39515044970422464	0.34963288745441784	0.39369213531178515	0.49290407324789126
38	0.4019277530139433	0.464588244321229	0.4029422280468701	0.3411436542102992	0.40092279831658373	0.4937382435273875
39	0.4088905361141563	0.46865769791283457	0.40985551590724095	0.3326690517925571	0.4076759077209052	0.49412895425459247
40	0.4163180135324509	0.4732468623017686	0.4160847637755297	0.32285942626148506	0.4132574300649917	0.4929747432969785
41	0.42211635408058434	0.4759379514568673	0.4227091462288653	0.3134033598836704	0.42159219204981113	0.49509687925818596
42	0.4291126118598154	0.4800587371386805	0.4294817511611033	0.30403286489686504	0.4282298706133576	0.49531245509360766
43	0.43433924600460583	0.48210774548511337	0.4354281704803316	0.29404886179842193	0.4326322683078489	0.49282652903045643
44	0.4408194606059251	0.48564904340746134	0.44106341106217656	0.2846280226878224	0.43903812785080826	0.4926697790740656
45	0.4455291256526967	0.48713687435491004	0.44627565308772477	0.2742055420040696	0.4443882717039294	0.4914092195904827
46	0.45147366741384476	0.4900736841169137	0.45216594156203194	0.26418383022192643	0.44899721565874173	0.48923669699389405
47	0.45563043793122726	0.49097595897111396	0.456223802199715	0.2537958909826396	0.45391622627953937	0.4874312040623964
48	0.4610292438996744	0.4933135493161153	0.4609358628825697	0.24308688803984874	0.46067500919733645	0.48759500163173153
49	0.46464807832465527	0.49364914699291385	0.465557892974519	0.23234048737062415	0.46365298426576756	0.4837209656251104
50	0.46867291010538087	0.4944659548204478	0.4701584697097557	0.22156461924341314	0.4661628476346302	0.4794428837584837
51	0.4733419457819249	0.49600696069945943	0.47386799983927474	0.2103637837772075	0.4713737297412601	0.47790985761478555
52	0.47598358897440374	0.4953286408411924	0.47741642551082536	0.1997683526979675	0.47511369999910913	0.47489637050752725
53	0.4800907694721879	0.49627504366544944	0.48030422836206477	0.18823227489374156	0.47836953800017973	0.47133345122559195
54	0.4821617580204711	0.4950147439288624	0.48311069564414705	0.17666596619302627	0.4813379640765089	0.46749012577338495
55	0.4856697024262617	0.4953340733324025	0.4858391987324699	0.1657349325179325	0.48445821589660726	0.4639020704536939
56	0.48717275757734846	0.49350987152295583	0.48806851094799963	0.15397677147828803	0.48468832170354476	0.45745695634788786
57	0.49009111072883893	0.49321416293998105	0.490551921156722	0.1423135228627511	0.4880794242403293	0.4539994668730592
58	0.49101441335059576	0.4908150839896652	0.4927371234317056	0.13054102540997894	0.4911278199361157	0.45029947732245834
59	0.4924867424289564	0.48904318998948954	0.49413518772560816	0.11854910164098091	0.49083930782787066	0.44342711496363596
60	0.494489745964047	0.48777304281258627	0.49450060480858227	0.10697678137417914	0.49281645206283603	0.4386467861889142
61	0.4944760245280922	0.4844800084362878	0.4959115846487513	0.0949889416218965	0.4943680804014685	0.43351914756070087
62	0.49601293952858055	0.48278231694025653	0.49633806473068165	0.08279327170223681	0.492637232465125	0.4254968345172889
63	0.4953306765510421	0.4788306653711368	0.4967816171329715	0.0712565167017046	0.4938301724496048	0.42001389138437306
64	0.4962663178548439	0.47654351548030077	0.49646901270919913	0.05898156703952618	0.496117079070965	0.4154362589878969
65	0.49501794329257204	0.4720582023748167	0.49671571364056943	0.04676387198953127	0.4943484555216519	0.40743138352787045
66	0.4953241063611047	0.46915142187408626	0.496351175303006	0.03446603697677647	0.49287674360806055	0.3997021240104205
67	0.4934959827499871	0.4641326463924666	0.4944811751010273	0.022081712670208885	0.4926527967814819	0.39300812596038603
68	0.4931903572658257	0.4606379306097217	0.49348990188009073	0.010397163094302705	0.4907972103726507	0.3850364634362622
69	0.4908107067958431	0.4551118505396219	0.49246933026666684	-0.001956907403917295	0.49021680773184656	0.37799417793524565
70	0.48892550276994007	0.4500941584972968	0.490479392863317	-0.014307720120671762	0.4884935104139352	0.3700642796527572
71	0.4878211205506945	0.4458389302370236	0.48862287749850314	-0.025997400805632807	0.4868134683661304	0.3622583846679739
72	0.48444612308025814	0.4394188349414077	0.485844932356507	-0.0382945230336935	0.48310946428927687	0.3528521866088065
73	0.48274060759186727	0.4346025869968105	0.48379531479576926	-0.05065866529990946	0.48016822022130506	0.3440497283106816
74	0.4788126526001428	0.4276919260394686	0.48002832298216686	-0.06283696784687014	0.4792479468712823	0.3367341635145058
75	0.4764739748329645	0.4222954432791818	0.47675551649826753	-0.07506707279199483	0.4743103688451683	0.32650977560660455
76	0.4720265593930148	0.4149454145157824	0.4735130822933216	-0.0866416821242425	0.4715728142104584	0.31783774209487264
77	0.4690843125112614	0.40899816849697695	0.47008334288968817	-0.09886496131343327	0.4691331076504537	0.30935393773935993
78	0.46409799164774856	0.40118896418838396	0.4657579106195072	-0.1108979093165213	0.46210108882800904	0.29786453816402564
79	0.4597354788496666	0.3939901554015267	0.46169487530199993	-0.12230828089242937	0.45775700540065994	0.2881246320489387
80	0.45585193524777085	0.3871678647202242	0.45658379560505047	-0.13413981985266937	0.45602289373563004	0.2800054096888681
81	0.45002972431419486	0.378678996281283	0.45139126857838247	-0.14592520778656157	0.4497705658930833	0.26908272387604754
82	0.4457562244965777	0.3715564987385747	0.44608090912258186	-0.15766149905646787	0.44377699999497766	0.258338427595028
83	0.43934670360970596	0.36257807989033	0.44069627941366607	-0.16939066692540486	0.4396723762057682	0.24869000455752882
84	0.4345110854742364	0.35497662242539685	0.43534340378465874	-0.18040501242601076	0.43259809002611954	0.2373967452751096
85	0.42762407739224684	0.34562072349461725	0.42958645062189466	-0.19199371039053523	0.4266612466790357	0.22669669537341697
86	0.4222098796192665	0.3375280396215779	0.42313455102566344	-0.2032822396218681	0.42128459011840197	0.21628360517334402
87	0.414857059909536	0.32781952464992486	0.41621316547657833	-0.21356896955787896	0.415051082542458	0.20546673209932337
88	0.4081707665444711	0.3187015470142582	0.4097796701528503	-0.2248826353355991	0.4078757316029577	0.19411489662248005
89	0.40181951668530175	0.30980247024078655	0.4025106673447257	-0.2357342134998184	0.40000476842640553	0.1824890639957657
90	0.3937859978241624	0.2996031200726723	0.3949911125214123	-0.24642256158032855	0.39370203222564354	0.17161256525400423
91	0.387146242223583	0.2905103351280939	0.38769594755002096	-0.2572600490326136	0.38558896526572645	0.15989733099919906
92	0.37858875903919614	0.2799189853057588	0.38042831092352775	-0.2673004267691667	0.3785297710425891	0.1486178842775503
93	0.3714508881685417	0.2704363767773503	0.3725352506089343	-0.2777484487173094	0.37167269501047395	0.13739302493425734
94	0.3624817041662476	0.259559439149096	0.36353054775949867	-0.2873617263949528	0.36179047845718476	0.12506207197776045
