cycle	input	out_tanh	out_hardclip	out_asymmetric
0	0	0	0	0
0.01	0.0313952597647	0.0627081291279	0.0313952597647	0.0627081291279
0.02	0.0626666167822	0.124681068716	0.0626666167822	0.124681068716
0.03	0.0936906572929	0.185218588627	0.0936906572929	0.185218588627
0.04	0.124344943582	0.243686742302	0.1	0.243686742302
0.05	0.154508497187	0.29954255612	0.1	0.29954255612
0.06	0.184062276342	0.352350189843	0.1	0.352350189843
0.07	0.212889645783	0.401787977232	0.1	0.401787977232
0.08	0.240876837051	0.447646969675	0.1	0.447646969675
0.09	0.267913397489	0.489822511406	0.1	0.489822511406
0.1	0.293892626146	0.528300868445	0.1	0.528300868445
0.11	0.318711994874	0.563143024911	0.1	0.563143024911
0.12	0.342273552964	0.594467540895	0.1	0.594467540895
0.13	0.364484313711	0.622433961072	0.1	0.622433961072
0.14	0.385256621388	0.647227792939	0.1	0.647227792939
0.15	0.404508497187	0.669047628672	0.1	0.669047628672
0.16	0.422163962751	0.688094618815	0.1	0.688094618815
0.17	0.438153340022	0.704564239928	0.1	0.704564239928
0.18	0.452413526233	0.718640129045	0.1	0.718640129045
0.19	0.464888242944	0.730489669521	0.1	0.730489669521
0.2	0.475528258148	0.7402609847	0.1	0.7402609847
0.21	0.484291580564	0.748081007864	0.1	0.748081007864
0.22	0.491143625364	0.754054332582	0.1	0.754054332582
0.23	0.496057350657	0.758262594531	0.1	0.758262594531
0.24	0.499013364214	0.760764186299	0.1	0.760764186299
0.25	0.5	0.761594155956	0.1	0.761594155956
0.26	0.499013364214	0.760764186299	0.1	0.760764186299
0.27	0.496057350657	0.758262594531	0.1	0.758262594531
0.28	0.491143625364	0.754054332582	0.1	0.754054332582
0.29	0.484291580564	0.748081007864	0.1	0.748081007864
0.3	0.475528258148	0.7402609847	0.1	0.7402609847
0.31	0.464888242944	0.730489669521	0.1	0.730489669521
0.32	0.452413526233	0.718640129045	0.1	0.718640129045
0.33	0.438153340022	0.704564239928	0.1	0.704564239928
0.34	0.422163962751	0.688094618815	0.1	0.688094618815
0.35	0.404508497187	0.669047628672	0.1	0.669047628672
0.36	0.385256621388	0.647227792939	0.1	0.647227792939
0.37	0.364484313711	0.622433961072	0.1	0.622433961072
0.38	0.342273552964	0.594467540895	0.1	0.594467540895
0.39	0.318711994874	0.563143024911	0.1	0.563143024911
0.4	0.293892626146	0.528300868445	0.1	0.528300868445
0.41	0.267913397489	0.489822511406	0.1	0.489822511406
0.42	0.240876837051	0.447646969675	0.1	0.447646969675
0.43	0.212889645783	0.401787977232	0.1	0.401787977232
0.44	0.184062276342	0.352350189843	0.1	0.352350189843
0.45	0.154508497187	0.29954255612	0.1	0.29954255612
0.46	0.124344943582	0.243686742302	0.1	0.243686742302
0.47	0.0936906572929	0.185218588627	0.0936906572929	0.185218588627
0.48	0.0626666167822	0.124681068716	0.0626666167822	0.124681068716
0.49	0.0313952597647	0.0627081291279	0.0313952597647	0.0627081291279
0.5	6.12323399574e-17	1.22464679915e-16	6.12323399574e-17	1.22464679915e-16
0.51	-0.0313952597647	-0.0627081291279	-0.0313952597647	-0.031354064564
0.52	-0.0626666167822	-0.124681068716	-0.0626666167822	-0.0623405343578
0.53	-0.0936906572929	-0.185218588627	-0.0936906572929	-0.0926092943134
0.54	-0.124344943582	-0.243686742302	-0.1	-0.121843371151
0.55	-0.154508497187	-0.29954255612	-0.1	-0.14977127806
0.56	-0.184062276342	-0.352350189843	-0.1	-0.176175094921
0.57	-0.212889645783	-0.401787977232	-0.1	-0.200893988616
0.58	-0.240876837051	-0.447646969675	-0.1	-0.223823484838
0.59	-0.267913397489	-0.489822511406	-0.1	-0.244911255703
0.6	-0.293892626146	-0.528300868445	-0.1	-0.264150434223
0.61	-0.318711994874	-0.563143024911	-0.1	-0.281571512456
0.62	-0.342273552964	-0.594467540895	-0.1	-0.297233770447
0.63	-0.364484313711	-0.622433961072	-0.1	-0.311216980536
0.64	-0.385256621388	-0.647227792939	-0.1	-0.323613896469
0.65	-0.404508497187	-0.669047628672	-0.1	-0.334523814336
0.66	-0.422163962751	-0.688094618815	-0.1	-0.344047309408
0.67	-0.438153340022	-0.704564239928	-0.1	-0.352282119964
0.68	-0.452413526233	-0.718640129045	-0.1	-0.359320064522
0.69	-0.464888242944	-0.730489669521	-0.1	-0.365244834761
0.7	-0.475528258148	-0.7402609847	-0.1	-0.37013049235
0.71	-0.484291580564	-0.748081007864	-0.1	-0.374040503932
0.72	-0.491143625364	-0.754054332582	-0.1	-0.377027166291
0.73	-0.496057350657	-0.758262594531	-0.1	-0.379131297266
0.74	-0.499013364214	-0.760764186299	-0.1	-0.380382093149
0.75	-0.5	-0.761594155956	-0.1	-0.380797077978
0.76	-0.499013364214	-0.760764186299	-0.1	-0.380382093149
0.77	-0.496057350657	-0.758262594531	-0.1	-0.379131297266
0.78	-0.491143625364	-0.754054332582	-0.1	-0.377027166291
0.79	-0.484291580564	-0.748081007864	-0.1	-0.374040503932
0.8	-0.475528258148	-0.7402609847	-0.1	-0.37013049235
0.81	-0.464888242944	-0.730489669521	-0.1	-0.365244834761
0.82	-0.452413526233	-0.718640129045	-0.1	-0.359320064522
0.83	-0.438153340022	-0.704564239928	-0.1	-0.352282119964
0.84	-0.422163962751	-0.688094618815	-0.1	-0.344047309408
0.85	-0.404508497187	-0.669047628672	-0.1	-0.334523814336
0.86	-0.385256621388	-0.647227792939	-0.1	-0.323613896469
0.87	-0.364484313711	-0.622433961072	-0.1	-0.311216980536
0.88	-0.342273552964	-0.594467540895	-0.1	-0.297233770447
0.89	-0.318711994874	-0.563143024911	-0.1	-0.281571512456
0.9	-0.293892626146	-0.528300868445	-0.1	-0.264150434223
0.91	-0.267913397489	-0.489822511406	-0.1	-0.244911255703
0.92	-0.240876837051	-0.447646969675	-0.1	-0.223823484838
0.93	-0.212889645783	-0.401787977232	-0.1	-0.200893988616
0.94	-0.184062276342	-0.352350189843	-0.1	-0.176175094921
0.95	-0.154508497187	-0.29954255612	-0.1	-0.14977127806
0.96	-0.124344943582	-0.243686742302	-0.1	-0.121843371151
0.97	-0.0936906572929	-0.185218588627	-0.0936906572929	-0.0926092943134
0.98	-0.0626666167822	-0.124681068716	-0.0626666167822	-0.0623405343578
0.99	-0.0313952597647	-0.0627081291279	-0.0313952597647	-0.031354064564
1	-1.22464679915e-16	-2.44929359829e-16	-1.22464679915e-16	-1.22464679915e-16
