bin	input	output	ellipse_input	ellipse_output	residual
0	0.006081677378587083	0.2941359123261696	0.006207048872326196	0.2846174681360524	0.009518444190117215
1	0.01826926769024528	0.31701067277230893	0.018395132944071916	0.30302800489573106	0.01398266787657787
2	0.030499129342866166	0.3400671052345256	0.03057213647557045	0.3212556518882374	0.0188114533462882
3	0.04261250660009089	0.3619650654324348	0.04273072449522192	0.33928942946059865	0.02267563597183614
4	0.05479377794278558	0.384350202629676	0.054863573124242164	0.3571184747395317	0.02723172789014433
5	0.06682837847921393	0.4054832473210387	0.06696337398829351	0.3747320481748313	0.030751199146207386
6	0.07897672730866948	0.427110131976848	0.07902283861977613	0.39211954000847415	0.03499059196837384
7	0.09087836647101895	0.4472801837626149	0.09103470284812844	0.40927047666553973	0.038009707097075185
8	0.1029437622026205	0.46797529116449577	0.10299173117549185	0.42617452706310066	0.041800764101395105
9	0.11470870928189224	0.48710197279415685	0.11488672113510402	0.4428215088332807	0.04428046396087615
10	0.12650645963973484	0.5061440167656157	0.12671250762979558	0.45920139445673214	0.046942622308883575
11	0.1384528424858058	0.5253428474739509	0.1384619672479768	0.47530431730283873	0.05003853017111215
12	0.1499022005707073	0.5425588350182732	0.1501280225545143	0.4911205775730052	0.051438257445267976
13	0.1617107323044762	0.5605858340529015	0.16170364635391332	0.5066406481434529	0.053945185909448634
14	0.17294812580687338	0.576502835024504	0.17318186592323748	0.5218551803040028	0.05464765472050115
15	0.18455840965906128	0.5932273477969554	0.18455576721221653	0.5367550093893894	0.05647233840756605
16	0.19554350330209885	0.6077856570961039	0.19581849900801163	0.5513311602997124	0.05645449679639147
17	0.20696290941283654	0.6232110950888533	0.20696327706212955	0.5655748529067006	0.057636242182152686
18	0.21769970746040831	0.6364169878642667	0.21798338817700066	0.5794775073425336	0.05693948052173314
19	0.22886922704177165	0.6504589971094318	0.2288721942497578	0.5930307491680329	0.05742824794139889
20	0.23929462002666102	0.6622608865560572	0.2396231362707815	0.6062264144171112	0.05603447213894597
21	0.2498540401075279	0.6740832369266229	0.2502297382746018	0.6190565545144404	0.05502668241218245
22	0.2607142537944664	0.6862741000716077	0.2606856112407781	0.6315134410633754	0.05476065900823235
23	0.2705744793238652	0.6958315991359099	0.2709844569424058	0.6435895705012522	0.052242028634657656
24	0.2811225331330087	0.7066760005936294	0.28112007173993286	0.655277668619253	0.05139833197437649
25	0.2906556433416393	0.7149315895413314	0.29108635031800045	0.6665706949441178	0.0483608945972136
26	0.300875998745277	0.7244453045118434	0.3008772893630561	0.6774618469790616	0.04698345753278177
27	0.31001203270716116	0.7313871097720485	0.31048699117952583	0.6879445643013453	0.04344254547070314
28	0.31987739894353046	0.7396298236754396	0.3199096672423655	0.6980125325140278	0.041617291161411774
29	0.32862836971312337	0.7453475340426888	0.32913964168385135	0.7076596870495235	0.0376878469931653
30	0.3376023350522367	0.7513377304759609	0.3381713547125107	0.7168802168226704	0.03445751365329042
31	0.346988156687452	0.7579149616497944	0.34699936596213266	0.7256685677311112	0.032246393918683225
32	0.35500552900758064	0.7617107386700629	0.3556183577688411	0.7340194460008761	0.027691292669186796
33	0.363986728456628	0.7671684137542927	0.3640231383742564	0.7419278213751548	0.025240592379137894
34	0.3715611878364124	0.7698787533543062	0.37220864505281703	0.7493889301443353	0.020489823209970948
35	0.38009771984245433	0.774243325468571	0.38016994716137537	0.7563982780154834	0.01784504745308757
36	0.3872044455072048	0.7759446974461038	0.3879022491092338	0.7629516428195384	0.012993054626565415
37	0.39530036047581457	0.7793004777824442	0.39540089324682803	0.7690450770545881	0.010255400727856023
38	0.4019277530139433	0.7800488855378288	0.40266136267132213	0.7746749102636977	0.005373975274131082
39	0.4088905361141563	0.781342575581551	0.4096792839474212	0.7798377512458551	0.0015048243356958757
40	0.4163180135324509	0.7833855305380294	0.4164504297417654	0.7845304900987035	-0.0011449595606740637
41	0.42211635408058434	0.7826930171203055	0.4229707213693176	0.7887503000918307	-0.006057282971525191
42	0.4291126118598154	0.7839387301401982	0.42923623125021115	0.7924946393694858	-0.008555909229287617
43	0.43433924600460583	0.7824002898920848	0.4352431852755759	0.795761252481698	-0.013360962589613279
44	0.4408194606059251	0.7828516640981615	0.4409879650809216	0.7985481717428748	-0.01569650764471331
45	0.4455291256526967	0.7805947337504635	0.44646711022570473	0.8008537184170631	-0.02025898466659959
46	0.45147366741384476	0.7802693623510555	0.4516773202777684	0.8026765037291561	-0.022407141378100626
47	0.45563043793122726	0.7773283851226065	0.4566154568013996	0.8040154297014401	-0.02668704457883364
48	0.4610292438996744	0.7762981661591765	0.46127854524780526	0.8048696898149752	-0.028571523655798736
49	0.46464807832465527	0.7727416829542144	0.46566377674686943	0.8052387694954118	-0.03249708654119743
50	0.46867291010538087	0.7698766490364926	0.46976850979911144	0.8051224464229513	-0.03524579738645872
51	0.4733419457819249	0.7679983621268895	0.4735902718668264	0.8045207906662628	-0.036522428539373264
52	0.47598358897440374	0.7634027860616313	0.4771267608634497	0.8034341646402767	-0.04003137857864547
53	0.4800907694721879	0.760941398837497	0.48037584654024756	0.8018632228878798	-0.040921824050382805
54	0.4821617580204711	0.7558112734038086	0.48333557176949943	0.7998089116856423	-0.04399763828183367
55	0.4856697024262617	0.752760444142841	0.48600415372339856	0.7972724684738166	-0.044512024330975564
56	0.48717275757734846	0.7471540603203866	0.4883799849479604	0.7942554211109499	-0.047101360790563374
57	0.49009111072883893	0.7435504237416063	0.49046163433129353	0.790759586953559	-0.047209163211952676
58	0.49101441335059576	0.7374704056578523	0.49224784796564724	0.7867870717614226	-0.04931666610357033
59	0.4924867424289564	0.7322317994026012	0.493737549902719	0.7823402684291505	-0.05010846902654931
60	0.494489745964047	0.7278920731921003	0.4949298428017655	0.7774218555447935	-0.04952978235269323
61	0.4944760245280922	0.7210386618921961	0.4958240084701271	0.7720347957763617	-0.05099613388416557
62	0.49601293952858055	0.7163079824499151	0.4964195082958401	0.7661823340872245	-0.049874351637309355
63	0.4953306765510421	0.7089690044366498	0.49671598357207675	0.7598679957814658	-0.050898991344816014
64	0.4962663178548439	0.70377583277194	0.4967132557132164	0.7530955843803726	-0.049319751608432605
65	0.49501794329257204	0.6960418999137592	0.4964113263624194	0.7458691793313365	-0.04982727941757725
66	0.4953241063611047	0.6903427537089061	0.49581037739063677	0.7381931335505456	-0.047850379841639534
67	0.4934959827499871	0.6822132282765181	0.49491077078705814	0.7300720708009533	-0.047858842524435175
68	0.4931903572658257	0.6760446966770255	0.4937130484410631	0.7215108829070932	-0.04546618623006771
69	0.4908107067958431	0.6675341899397863	0.4922179318158071	0.7125147268084295	-0.04498053686864323
70	0.48892550276994007	0.6597490817169406	0.4904263215136392	0.703089021453008	-0.04333993973606742
71	0.4878211205506945	0.6529957264911154	0.48833929673361276	0.6932394445332847	-0.04024371804216931
72	0.48444612308025814	0.6437262763564908	0.48595811462141647	0.6829719290660972	-0.03924565270960634
73	0.48274060759186727	0.6364954204334123	0.4832842095121166	0.6722926598188353	-0.03579723938542301
74	0.4788126526001428	0.6268115734633649	0.4803191920661671	0.6612080695839702	-0.03439649612060525
75	0.4764739748329645	0.6190546759749929	0.47706484829920837	0.6497248353041797	-0.03067015932918682
76	0.4720265593930148	0.608992551597463	0.47352313850623795	0.6378498740504084	-0.028857322452945366
77	0.4690843125112614	0.6007108421838544	0.4696961960808019	0.6255903388552817	-0.024879496671427304
78	0.46409799164774856	0.5902069182274684	0.4655863262299188	0.6129536144043882	-0.022746696176919823
79	0.4597354788496666	0.5804462044528863	0.4611960045855088	0.5999473125880191	-0.01950110813513284
80	0.45585193524777085	0.5713494325421762	0.45652787571316594	0.586579267916052	-0.015229835373875789
81	0.45002972431419486	0.5600622795528616	0.4515847515191703	0.5728575327987337	-0.012795253245872162
82	0.4457562244965777	0.5505455240982059	0.44636960955670096	0.5587903726962102	-0.00824484859800434
83	0.43934670360970596	0.538718151372878	0.44088559123226934	0.544386261139722	-0.005668109766843954
84	0.4345110854742364	0.5286139702973369	0.43513599991345353	0.5296538746274666	-0.0010399043301296818
85	0.42762407739224684	0.5162791116617165	0.4291242989390729	0.5146020873981996	0.001677024263516902
86	0.4222098796192665	0.5055157954286781	0.4228541095330025	0.4992399660857252	0.006275829342952899
87	0.414857059909536	0.49264912744050804	0.416329208622883	0.4835767642574955	0.009072363183012522
88	0.4081707665444711	0.48044042629755435	0.4095535265650408	0.4676219168406066	0.012818509456947735
89	0.40181951668530175	0.4685544015869417	0.40253114477698854	0.4513850344385525	0.017169367148389236
90	0.3937859978241624	0.45478874886669574	0.39526629327893165	0.43487589754215605	0.019912851324539682
91	0.387146242223583	0.4424057269244695	0.38776334814576224	0.4181044506381675	0.02430127628630202
92	0.37858875903919614	0.42793616919628114	0.3800268288710753	0.40108079621907666	0.026855372977204472
93	0.3714508881685417	0.41480625671580573	0.3720613956447949	0.38381518869775033	0.0309910680180554
94	0.3624817041662476	0.3996709505896126	0.36387184654604954	0.36631802823055626	0.03335292235905635
95	0.3548515705520935	0.3857522136942164	0.3554631146529896	0.3485998544526996	0.03715235924151683
96	0.34551974984581696	0.3699618208164031	0.3468402650712848	0.33067134012953875	0.03929048068686436
97	0.33741135446900783	0.355203923441096	0.3380084918830939	0.31254328472771153	0.04266063871338449
98	0.3277115203101483	0.33869295151296896	0.32897311501834414	0.2942266079099404	0.04446634360302859
99	0.3184608117024083	0.3224287816087461	0.3197395770502044	0.2757323429574353	0.04669643865131079
100	0.3097750839509059	0.3064550134228923	0.3103134399166824	0.25707163012385925	0.049383383299033023
101	0.29947281193152825	0.28874938088733837	0.3007003815703217	0.23825570992485384	0.05049367096248453
102	0.290379084131108	0.27190714642801506	0.2909061925580144	0.21929591636717435	0.0526112300608407
103	0.27978438954004636	0.25347229597004245	0.2809367725329934	0.20020367012150764	0.05326862584853481
104	0.2703053962976414	0.23575214302562295	0.27079812670110087	0.18099047164308676	0.05476167138253618
105	0.2594362988644075	0.21656599320611722	0.2604963622034778	0.16166789424424782	0.054898098961869396
106	0.2495641956765872	0.1979232868195651	0.2500376844378499	0.14224757712309807	0.05567570969646701
107	0.23845527080118442	0.17802702787937744	0.23942839332062785	0.12274121835249871	0.055285809526878726
108	0.22782194272058695	0.15826660970832737	0.22867487949207368	0.1031605678335834	0.055106041874743966
109	0.21730880233421057	0.138127230116006	0.21778362046681798	0.08351742021805714	0.05460980989794886
110	0.20588530476764055	0.11723234006092027	0.20676117673204697	0.06382360780353852	0.053408732257381755
111	0.19525116023612835	0.09648465013304498	0.19561418779571116	0.044090993406227685	0.0523936567268173
112	0.1835734046258751	0.07489510402637377	0.18434936818713282	0.024331463215187255	0.050563640811186514
113	0.17265917049246096	0.05337940654665153	0.17297350341242537	0.00455691963254784	0.04882248691410369
114	0.16081543026722456	0.031216947440651076	0.16149344586715822	-0.01522072589605411	0.04643767333670519
115	0.14964887402404908	0.009027889671491249	0.14991611070872934	-0.034989560056486346	0.044017449727977595
116	0.1376947874590358	-0.013570826186002742	0.1382484716909342	-0.05473767484225428	0.04116684865625154
117	0.12628664297895154	-0.036377336861716014	0.12649755696323575	-0.07445317472744087	0.038075837865724854
118	0.1142142291682751	-0.05936736461580062	0.11467044483727096	-0.09412418383212529	0.03475681921632467
119	0.10236136360187087	-0.08248979534500597	0.10277425952314032	-0.11373885307596923	0.03124905773096326
120	0.09069620296838529	-0.10599310996814647	0.09081616683805001	-0.13328536731566007	0.0272922573475136
121	0.07850237901959765	-0.12920468941705204	0.07880336988989146	-0.15275195246191123	0.023547263044859185
122	0.06667647012875658	-0.15297488783146207	0.06674310473835923	-0.17212688257173264	0.019151994740270573
123	0.054466939814782345	-0.17615841256263406	0.05464263603621808	-0.19139848691170155	0.01524007434906749
124	0.04252260059545056	-0.20001817860158463	0.04250925265334845	-0.21055515698797544	0.01053697838639081
125	0.030294457023109303	-0.2230905465266739	0.030350263286203785	-0.2295853535388143	0.006494807012140391
126	0.01823471058247586	-0.24690110827794964	0.01817299205532474	-0.24847761348540118	0.001576505207451534
127	0.006060498547223255	-0.2695964085095536	0.005984774093563725	-0.2672205568367706	-0.0023758516727829804
128	-0.0060465199998708166	-0.2925768483085515	-0.0062070488723261355	-0.2858028935446919	-0.006773954763859613
129	-0.018219245903817433	-0.3159891569906454	-0.018395132944071812	-0.30421343030437054	-0.011775726686274857
130	-0.030316345169442604	-0.337868935791136	-0.030572136475570305	-0.3224410772968768	-0.015427858494259206
131	-0.04248964508357669	-0.3608530042563612	-0.04273072449522195	-0.34047485486923834	-0.020378149387122846
