input_dbfs	output_dbfs	thd_pct
-70	-51.9382141875	5.36056921267e-05
-68.3428571429	-50.2810777868	7.83789441714e-05
-66.6857142857	-48.6239443858	0.000114664867707
-65.0285714286	-46.9668153778	0.000167810893616
-63.3714285714	-45.3096928039	0.000245649039594
-61.7142857143	-43.6525796531	0.000359650003239
-60.0571428571	-41.9954803031	0.000526613346509
-58.4	-40.3384011651	0.00077114269059
-56.7428571429	-38.6813516286	0.00112927033696
-55.0857142857	-37.0243454444	0.00165376471314
-53.4285714286	-35.3674027499	0.00242190116246
-51.7714285714	-33.7105530338	0.0035468377381
-50.1142857143	-32.0538394765	0.00519426489408
-48.4571428571	-30.3973253013	0.00760676651946
-46.8	-28.7411030648	0.0111394476219
-45.1428571429	-27.0853082405	0.0163120045679
-43.4857142857	-25.4301390615	0.0238847518029
-41.8285714286	-23.7758854733	0.0349694674198
-40.1714285714	-22.122971304	0.0511906625534
-38.5142857143	-20.4720155281	0.0749194825868
-36.8571428571	-18.8239209309	0.109611393726
-35.2	-17.1800017091	0.16029038747
-33.5428571429	-15.5421655798	0.234236228946
-31.8857142857	-13.9131704579	0.341944996671
-30.2285714286	-12.2969794802	0.498440290845
-28.5714285714	-10.6992380194	0.724997880081
-26.9142857143	-9.12788582023	1.05127941092
-25.2571428571	-7.59388440199	1.51769642162
-23.6	-6.1119658086	2.17746494637
-21.9428571429	-4.7011738687	3.09719225101
-20.2857142857	-3.38477496274	4.35401417202
-18.6285714286	-2.18893515944	6.02669174809
-16.9714285714	-1.13959745009	8.17869458819
-15.3142857143	-0.257539653876	10.8344509261
-13.6571428571	0.447261893443	13.9556932066
-12	0.976562557207	17.4204315231
