bin	input	output	truth
0	0.006081677378587083	0.012162130600820017	0.0121627549479148
1	0.01826926769024528	0.03652030456294393	0.03652228362464474
2	0.030499129342866166	0.06091897468737288	0.060922717259093005
3	0.04261250660009089	0.08501282599325755	0.08501927256101251
4	0.05479377794278558	0.1091416547574945	0.10915095829976099
5	0.06682837847921393	0.1328511446790803	0.13286651609578812
6	0.07897672730866948	0.1566334931470648	0.15665282395358404
7	0.09087836647101895	0.17975030701321562	0.17978135641571802
8	0.1029437622026205	0.2029911813774664	0.20302685156879774
9	0.11470870928189224	0.2254199870678098	0.22547546149621037
10	0.12650645963973484	0.24767707106985187	0.2477487543192334
11	0.1384528424858058	0.2699641781782238	0.27003881011495123
12	0.1499022005707073	0.29102085972066616	0.29113360250863046
13	0.1617107323044762	0.31248510696811577	0.3125973434984286
14	0.17294812580687338	0.33256519973541737	0.33273111864324156
15	0.18455840965906128	0.3530585590601079	0.3532189618926621
16	0.19554350330209885	0.37206583425141015	0.3722969486226855
17	0.20696290941283654	0.3915823991565978	0.3918009567411874
18	0.21769970746040831	0.40951584381615785	0.4098237813619726
19	0.22886922704177165	0.4279510031092681	0.42823919771010077
20	0.23929462002666102	0.44471682800980306	0.4451130686959324
21	0.2498540401075279	0.4614363860493854	0.4618875466387199
22	0.2607142537944664	0.4784008719544854	0.4788017855827693
23	0.2705744793238652	0.49329902609658827	0.4938571929726749
24	0.2811225331330087	0.5091506876496318	0.5096412795394774
25	0.2906556433416393	0.5229484089697046	0.5236178468871788
26	0.300875998745277	0.5377064134271895	0.5382950762665655
27	0.31001203270716116	0.5503543172873583	0.5511447840506595
28	0.31987739894353046	0.5640408627893717	0.5647325744229305
29	0.32862836971312337	0.5756215109581222	0.5765348882038686
30	0.3376023350522367	0.5874028079985677	0.5883930845126178
31	0.346988156687452	0.5996900012441599	0.6005303810262468
32	0.35500552900758064	0.6095592200837083	0.6106837669616709
33	0.363986728456628	0.6208750168417936	0.6218239658913955
34	0.3715611878364124	0.6297723167209704	0.6310279223350188
35	0.38009771984245433	0.6401297363608363	0.6411920647100121
36	0.3872044455072048	0.6481004724327531	0.6494858344798086
37	0.39530036047581457	0.6575772578809292	0.6587492083114758
38	0.4019277530139433	0.6646740475813367	0.6661866959492069
39	0.4088905361141563	0.6722624684621269	0.6738603455508013
40	0.4163180135324509	0.6805733638282749	0.6818888895484049
41	0.42211635408058434	0.6863203155072669	0.6880444811443955
42	0.4291126118598154	0.693924532030987	0.6953421327553154
43	0.43433924600460583	0.6988535559701844	0.7007020841435345
44	0.4408194606059251	0.7057201161266862	0.7072394233933097
45	0.4455291256526967	0.7099599831760651	0.7119160288038133
46	0.45147366741384476	0.7161130288089127	0.7177299511830966
47	0.45563043793122726	0.7196735042126647	0.721736884400246
48	0.4610292438996744	0.7251602433582581	0.7268697754065602
49	0.46464807832465527	0.7281107291012486	0.7302655726319504
50	0.46867291010538087	0.7317675859962793	0.734000413242696
51	0.4733419457819249	0.7364705829302998	0.7382780927748667
52	0.47598358897440374	0.7383475923724719	0.7406723388012129
