bin	input	raw_output	compensated_output	truth_compensated
0	0.006081677378587083	0.5750608174812621	0.010741880930737266	0.011943814702970162
1	0.01826926769024528	0.586416096373338	0.0344875581363014	0.03581063358755837
2	0.030499129342866166	0.597941129261187	0.05824261332613674	0.05961516912494411
3	0.04261250660009089	0.6077371012119612	0.08168202592876833	0.08331639078953954
4	0.05479377794278558	0.6183027426788218	0.10528106240770192	0.10687399745240199
5	0.06682837847921393	0.6271774323278271	0.12833127843090156	0.13024869304282066
6	0.07897672730866948	0.6368421745155376	0.15157511209127134	0.15340244663359526
7	0.09087836647101895	0.6448100119848814	0.17405553483736713	0.17629873321956474
8	0.1029437622026205	0.6536109765517589	0.19663730109976343	0.19890275195837925
9	0.11470870928189224	0.660746459607041	0.21885481040422888	0.22118161921079868
10	0.12650645963973484	0.6680522987318371	0.24057700928895978	0.24310453433346085
11	0.1384528424858058	0.6757309097302953	0.2620285683389325	0.2646429168177407
12	0.1499022005707073	0.6815760763167795	0.28295489866229745	0.28577051401192205
13	0.1617107323044762	0.6885204079069634	0.3036118314512337	0.30646347928959705
14	0.17294812580687338	0.6936179679670059	0.3236032142001005	0.32670042111633457
15	0.18455840965906128	0.6998305087360343	0.34335499681975723	0.34646242400337723
16	0.19554350330209885	0.7042341218224938	0.3623833645705384	0.36573304280894414
17	0.20696290941283654	0.7097723682215252	0.38077509811588256	0.3844982722456797
18	0.21769970746040831	0.7135288390293055	0.39950496362606625	0.40274649377157057
19	0.22886922704177165	0.7183914905013079	0.4165623913772737	0.42046840227935744
20	0.23929462002666102	0.7215282334536595	0.43419216147874945	0.4376569151573683
21	0.2498540401075279	0.7249970671040915	0.4502363419413129	0.45430706637671714
22	0.2607142537944664	0.7290867200295154	0.46674069386573935	0.47041588827213343
23	0.2705744793238652	0.7311835901873216	0.48174078112351665	0.48598228363408436
24	0.2811225331330087	0.7346967439319527	0.4971419060106853	0.50100689062723
25	0.2906556433416393	0.7362586078466484	0.5111310538825097	0.5154919429041037
26	0.300875998745277	0.7391860585489217	0.5254140466129749	0.5294411271028152
27	0.31001203270716116	0.740206778901409	0.538419637943286	0.5428594397129003
28	0.31987739894353046	0.7425899361246857	0.5509851592797619	0.5557530450728762
29	0.32862836971312337	0.7431017072767949	0.5641244984562953	0.5681291360345803
30	0.3376023350522367	0.7440847986347826	0.5751283239052953	0.5799957985998588
31	0.346988156687452	0.7457802887878735	0.587259812432671	0.5913618816105265
32	0.35500552900758064	0.7453934522707512	0.5972668852551465	0.6022368723574901
33	0.363986728456628	0.7465826420704742	0.6084589756962423	0.612630778773243
34	0.3715611878364124	0.7456925146443991	0.617493950710897	0.6225540186862561
35	0.38009771984245433	0.7463479258935982	0.62776581036378	0.6320173164479364
36	0.3872044455072048	0.7449698065006944	0.6359428826135979	0.6410316070937476
37	0.39530036047581457	0.7451016841185951	0.644569635093875	0.6496079480700975
38	0.4019277530139433	0.7432189890614131	0.6532205092068994	0.6577574384474147
39	0.4088905361141563	0.7419051392887043	0.6604307192501903	0.6654911454467817
40	0.4163180135324509	0.74131396581417	0.6682567051964058	0.6728200380314532
41	0.42211635408058434	0.7385522647668121	0.6746711062500217	0.679754927254353
42	0.4291126118598154	0.7374648697402134	0.6817146880060224	0.6863064130067016
43	0.43433924600460583	0.7341362977937379	0.6873735680055579	0.6924848367798123
44	0.4408194606059251	0.7324993361416756	0.6937095432686703	0.6983002400302432
45	0.4455291256526967	0.7286390440467372	0.698663066149856	0.7037623277263929
46	0.45147366741384476	0.7263966522325981	0.7043021974478917	0.7088804366508634
47	0.45563043793122726	0.7219721001977443	0.7086065295547489	0.7136635080361067
48	0.4610292438996744	0.719122160688847	0.7127438350010826	0.7181200641197941
49	0.46464807832465527	0.7141215101994778	0.7179080682451605	0.7222581882198795
50	0.46867291010538087	0.7096434711935986	0.720812914955097	0.7260855079464757
51	0.4733419457819249	0.7059266850910583	0.7252682009642963	0.7296091811875545
52	0.47598358897440374	0.6998462516257625	0.7276847965033368	0.7328358845273739
53	0.4800907694721879	0.6954600516905634	0.731462764929124	0.7357718037798044
54	0.4821617580204711	0.6887072506554307	0.7333849915986494	0.738422626342827
55	0.4856697024262617	0.6835808742230078	0.7365339900610623	0.740793535105027
56	0.48717275757734846	0.676146375404432	0.7380331124024883	0.7428892036595272
57	0.49009111072883893	0.670240677677883	0.739606062412963	0.7447137926052843
58	0.49101441335059576	0.6620600405415864	0.7422960308683799	0.7462709467397933
59	0.4924867424289564	0.6544170782843927	0.7425967581781544	0.7475637929709229
60	0.494489745964047	0.6472715532512558	0.7447389697361522	0.7485949387987318
61	0.4944760245280922	0.6378272502584478	0.7445402962722396	0.7493664712407118
62	0.49601293952858055	0.629916421391828	0.7461350730041038	0.7498799560959427
63	0.4953306765510421	0.6195633450766327	0.7454637186107684	0.7501364374652005
64	0.4962663178548439	0.6107497150754365	0.746520356943161	0.7501364374652005
65	0.49501794329257204	0.5995212700332105	0.7454127037045754	0.7498799560959427
