level_dbfs	freq_hz	thd_pct	in_column
-48	20	4.09943845284	0
-48	26.2045386232	0.0332975092345	0
-48	34.3338922229	0.00748385985186	0
-48	44.985190242	0.0104035943596	0
-48	58.9408077585	0.00989799668153	0
-48	77.2258336697	0.0143886283017	0
-48	101.183367055	0.0149731675217	0
-48	132.573172502	0.0148704209725	0
-48	173.700940961	0.0146760149079	0
-48	227.587650816	0.0224130704527	1
-48	298.191469299	0.0195985891762	0
-48	390.698493718	0.0189193459993	0
-48	511.903688434	0.0260759787076	0
-48	670.709998748	0.0339048736697	0
-48	878.782303359	0.0379505772974	0
-48	1151.40424049	0.0496781893263	0
-48	1508.60084454	0.0593568111364	0
-48	1976.6094549	0.0530622378003	0
-48	2589.80694019	0.058752799033	0
-48	3393.23479955	0.0534615008758	0
-48	4445.90761813	0.0669102075002	0
-48	5825.14789473	0.0527639994941	0
-48	7632.26564968	0.0329062726144	0
-48	10000	0.1631541723	0
-42.8571428571	20	4.09961913485	0
-42.8571428571	26.2045386232	0.0308997664886	0
-42.8571428571	34.3338922229	0.00427294050524	0
-42.8571428571	44.985190242	0.00497407241502	0
-42.8571428571	58.9408077585	0.00659906308081	0
-42.8571428571	77.2258336697	0.00721089160482	0
-42.8571428571	101.183367055	0.0100963491071	0
-42.8571428571	132.573172502	0.00900735060349	0
-42.8571428571	173.700940961	0.0111209859955	0
-42.8571428571	227.587650816	0.0107217696564	1
-42.8571428571	298.191469299	0.0137919411564	0
-42.8571428571	390.698493718	0.016879167461	0
-42.8571428571	511.903688434	0.0187501742756	0
-42.8571428571	670.709998748	0.0219340418536	0
-42.8571428571	878.782303359	0.0254140685447	0
-42.8571428571	1151.40424049	0.0329804265825	0
-42.8571428571	1508.60084454	0.0328088887913	0
-42.8571428571	1976.6094549	0.0355867471241	0
-42.8571428571	2589.80694019	0.0378852301797	0
-42.8571428571	3393.23479955	0.0295559399856	0
-42.8571428571	4445.90761813	0.0395327135161	0
-42.8571428571	5825.14789473	0.0277908100431	0
-42.8571428571	7632.26564968	0.00856126093203	0
-42.8571428571	10000	0.0445930898646	0
-37.7142857143	20	4.10048921669	0
-37.7142857143	26.2045386232	0.0321740149855	0
-37.7142857143	34.3338922229	0.00622819708761	0
-37.7142857143	44.985190242	0.00613782185741	0
-37.7142857143	58.9408077585	0.00590999396253	0
-37.7142857143	77.2258336697	0.0071275774843	0
-37.7142857143	101.183367055	0.00647412423049	0
-37.7142857143	132.573172502	0.00829872899302	0
-37.7142857143	173.700940961	0.00853544816837	0
-37.7142857143	227.587650816	0.00723910540941	1
-37.7142857143	298.191469299	0.00770442854079	0
-37.7142857143	390.698493718	0.0108914297746	0
-37.7142857143	511.903688434	0.0126286039625	0
-37.7142857143	670.709998748	0.0139123220164	0
