t_s	carried	independent
-0.5	0.270935261156	0.270935261156
-0.499833333333	0.318591394153	0.318591394153
-0.499666666667	0.361658862902	0.361658862902
-0.4995	0.40004171865	0.40004171865
-0.499333333333	0.433752152869	0.433752152869
-0.499166666667	0.462988305795	0.462988305795
-0.499	0.487812451189	0.487812451189
-0.498833333333	0.508532329623	0.508532329623
-0.498666666667	0.525288956825	0.525288956825
-0.4985	0.538261936922	0.538261936922
-0.498333333333	0.54763090482	0.54763090482
-0.498166666667	0.553574611774	0.553574611774
-0.498	0.556110320946	0.556110320946
-0.497833333333	0.555277314268	0.555277314268
-0.497666666667	0.551127306921	0.551127306921
-0.4975	0.543575009722	0.543575009722
-0.497333333333	0.532568192147	0.532568192147
-0.497166666667	0.517896493633	0.517896493633
-0.497	0.499454771203	0.499454771203
-0.496833333333	0.477078694511	0.477078694511
-0.496666666667	0.450513499435	0.450513499435
-0.4965	0.419579316027	0.419579316027
-0.496333333333	0.384154001044	0.384154001044
-0.496166666667	0.344133925813	0.344133925813
-0.496	0.29949656733	0.29949656733
-0.495833333333	0.250341290056	0.250341290056
-0.495666666667	0.196994303182	0.196994303182
-0.4955	0.139818016549	0.139818016549
-0.495333333333	0.0794043360423	0.0794043360423
-0.495166666667	0.0165735635317	0.0165735635317
-0.495	-0.0477892603176	-0.0477892603176
-0.494833333333	-0.0993741687147	-0.0993741687147
-0.494666666667	-0.13158213019	-0.13158213019
-0.4945	-0.163053117807	-0.163053117807
-0.494333333333	-0.193329855625	-0.193329855625
-0.494166666667	-0.222013244657	-0.222013244657
-0.494	-0.248805770889	-0.248805770889
-0.493833333333	-0.273502740463	-0.273502740463
-0.493666666667	-0.295893644716	-0.295893644716
-0.4935	-0.315972784541	-0.315972784541
-0.493333333333	-0.333713822978	-0.333713822978
-0.493166666667	-0.349146508001	-0.349146508001
-0.493	-0.362402337152	-0.362402337152
-0.492833333333	-0.373507848025	-0.373507848025
-0.492666666667	-0.382623606236	-0.382623606236
-0.4925	-0.389791364279	-0.389791364279
-0.492333333333	-0.395129948869	-0.395129948869
-0.492166666667	-0.398746521195	-0.398746521195
-0.492	-0.400594360281	-0.400594360281
-0.491833333333	-0.400810156312	-0.400810156312
-0.491666666667	-0.399362814774	-0.399362814774
-0.4915	-0.396211685598	-0.396211685598
-0.491333333333	-0.391347109659	-0.391347109659
-0.491166666667	-0.384698272391	-0.384698272391
-0.491	-0.376199251571	-0.376199251571
-0.490833333333	-0.365758580451	-0.365758580451
-0.490666666667	-0.353267064005	-0.353267064005
-0.4905	-0.338640826972	-0.338640826972
-0.490333333333	-0.321777903819	-0.321777903819
-0.490166666667	-0.302628206512	-0.302628206512
-0.49	-0.28117007164	-0.28117007164
-0.489833333333	-0.257444029182	-0.257444029182
-0.489666666667	-0.231532750022	-0.231532750022
-0.4895	-0.203614185387	-0.203614185387
-0.489333333333	-0.17396393105	-0.17396393105
-0.489166666667	-0.142941520275	-0.142941520275
-0.489	-0.110936125893	-0.110936125893
