t_s	x	f_hz
0	0	20
0.01	0.0454666169525	20.1253914401
0.02	0.0993204349831	20.2515690308
0.03	-0.201647543091	20.378537701
0.04	-0.420407588254	20.5063024105
0.05	0.0495214092755	20.63486815
0.06	0.492707226145	20.7642399416
0.07	0.209824621397	20.8944228391
0.08	-0.386605025284	21.0254219275
0.09	-0.401556565249	21.1572423242
0.1	0.195174096621	21.2898891784
0.11	0.49261488818	21.4233676715
0.12	0.0242033317578	21.5576830177
0.13	-0.483134384065	21.6928404636
0.14	-0.2237633784	21.8288452889
0.15	0.395317091046	21.9657028062
0.16	0.374078737466	22.1034183615
0.17	-0.260433786954	22.2419973345
0.18	-0.464526265616	22.3814451383
0.19	0.108542843255	22.5217672201
0.2	0.498859771773	22.6629690613
0.21	0.0373818191948	22.8050561777
0.22	-0.489196206732	22.9480341194
0.23	-0.163285001451	23.0919084717
0.24	0.450653780842	23.2366848546
0.25	0.263147775535	23.3823689234
0.26	-0.397655437988	23.528966369
0.27	-0.336802019053	23.6764829178
0.28	0.341996192486	23.8249243322
0.29	0.387501294822	23.9742964108
0.3	-0.292283973634	24.1246049884
0.31	-0.419843017837	24.2758559365
0.32	0.254218491989	24.4280551632
0.33	0.438253520793	24.581208614
0.34	-0.231227424932	24.7353222713
0.35	-0.446010676415	24.8904021553
0.36	0.225109148574	25.0464543238
0.37	0.444679117091	25.2034848727
0.38	-0.236459657191	25.3614999358
0.39	-0.433833819503	25.5205056858
0.4	0.264758307316	25.6805083338
0.41	0.411011706975	25.8415141298
0.42	-0.308057021464	26.0035293634
0.43	-0.371929743857	26.1665603631
0.44	0.362286719067	26.3306134974
0.45	0.311117835453	26.4956951746
0.46	-0.420300421851	26.6618118433
0.47	-0.223202648718	26.8289699924
0.48	0.47095099314	26.9971761515
0.49	0.105085305003	27.1664368913
0.5	-0.498765584217	27.3367588235
0.51	0.0409135420222	27.5081486013
0.52	0.485078025933	27.6806129196
0.53	-0.203330890504	27.8541585154
0.54	-0.411646024242	28.0287921678
0.55	0.358479166187	28.2045206985
0.56	0.267484729381	28.3813509719
0.57	-0.470295306113	28.5592898953
0.58	-0.0584533621847	28.7383444197
0.59	0.496199970927	28.9185215393
0.6	-0.18325951548	29.0998282924
0.61	-0.401468385487	29.2822717611
0.62	0.395797543485	29.4658590724
0.63	0.18126699692	29.6505973975
0.64	-0.498670319435	29.8364939528
0.65	0.1173017872	30.023556
0.66	0.424063224358	30.2117908462
0.67	-0.389091795633	30.4012058442
0.68	-0.163760387126	30.5918083933
0.69	0.499859767916	30.7836059387
0.7	-0.191543581783	30.9766059727
0.71	-0.357297173377	31.1708160343
0.72	0.460103548319	31.3662437098
0.73	-0.00199369078107	31.5628966332
0.74	-0.45602173015	31.7607824863
0.75	0.376825196578	31.959908999
0.76	0.135102324044	32.1602839497
0.77	-0.491685977997	32.3619151656
0.78	0.303208388906	32.5648105229
0.79	0.21185234777	32.7689779473
0.8	-0.49918638867	32.974425414
0.81	0.267535350364	33.1811609484
0.82	0.233386648919	33.3891926262
0.83	-0.499423163514	33.5985285735
0.84	0.280217840389	33.8091769676
0.85	0.201931390077	34.021146037
0.86	-0.493789746312	34.2344440617
0.87	0.338885587048	34.4490793738
0.88	0.111839698998	34.6650603573
0.89	-0.462737932924	34.8823954493
0.9	0.425082628447	35.1010931392
0.91	-0.0434848051832	35.3211619701
0.92	-0.368381098603	35.5426105383
0.93	0.493703806803	35.7654474943
0.94	-0.250427394501	35.9896815426
0.95	-0.170803809325	36.2153214424
0.96	0.467386242911	36.4423760078
0.97	-0.443150159995	36.6708541082
0.98	0.128064120639	36.9007646684
