input_dbfs	thd_pct	noise_bound_pct	null_run_bound_pct	floor_pct	class
-70	0.112228440271	4.48021943911	0.136080606278	4.48021943911	below_floor
-68.3428571429	0.104011078348	3.69729288503	0.135812160892	3.69729288503	below_floor
-66.6857142857	0.0677558256532	3.05614834402	0.0857553505377	3.05614834402	below_floor
-65.0285714286	0.0857035227748	2.52532748345	0.0915579979407	2.52532748345	below_floor
-63.3714285714	0.0654406540219	2.08705920029	0.0660406633817	2.08705920029	below_floor
-61.7142857143	0.0541795516531	1.72418311712	0.0733735181651	1.72418311712	below_floor
-60.0571428571	0.0362402870967	1.42463098816	0.0529616595627	1.42463098816	below_floor
-58.4	0.0304775327378	1.17744145832	0.0374825169557	1.17744145832	below_floor
-56.7428571429	0.0209691906525	0.972761597723	0.0233634515165	0.972761597723	below_floor
-55.0857142857	0.0279077221952	0.803857624584	0.0216001716152	0.803857624584	below_floor
-53.4285714286	0.0222127703004	0.664225605311	0.016629681258	0.664225605311	below_floor
-51.7714285714	0.0180125422351	0.54885561062	0.0191519629123	0.54885561062	below_floor
-50.1142857143	0.0116112292642	0.453541126749	0.0165678272361	0.453541126749	below_floor
-48.4571428571	0.00822705206994	0.374750853491	0.0133848043956	0.374750853491	below_floor
-46.8	0.00796212993298	0.309653192196	0.00954009024101	0.309653192196	below_floor
-45.1428571429	0.00897213363952	0.255874735233	0.00763338534349	0.255874735233	below_floor
-43.4857142857	0.0072150590407	0.211433193794	0.00602163780677	0.211433193794	below_floor
-41.8285714286	0.0050955653354	0.174711256651	0.00820461736779	0.174711256651	below_floor
-40.1714285714	0.00440151618574	0.144363413086	0.0054728656277	0.144363413086	below_floor
-38.5142857143	0.00438184852025	0.119288580019	0.00467164001759	0.119288580019	below_floor
-36.8571428571	0.00327971607587	0.0985684536928	0.00330868341925	0.0985684536928	below_floor
-35.2	0.00305741640812	0.0814484546895	0.00256009475961	0.0814484546895	below_floor
-33.5428571429	0.00208277072869	0.0673019007536	0.00152988567448	0.0673019007536	below_floor
-31.8857142857	0.00204676856479	0.0556121977984	0.00131434414769	0.0556121977984	below_floor
-30.2285714286	0.00127907803153	0.0459525707762	0.00128429988706	0.0459525707762	below_floor
-28.5714285714	0.00149947086872	0.0379708436646	0.00131497268572	0.0379708436646	below_floor
-26.9142857143	0.00197416393892	0.0313752075197	0.001130988361	0.0313752075197	below_floor
-25.2571428571	0.00195231753964	0.0259253944387	0.00160422283665	0.0259253944387	below_floor
-23.6	0.00233607118076	0.0214219044376	0.00221566241257	0.0214219044376	below_floor
-21.9428571429	0.00331340045231	0.0177006405883	0.00349399217364	0.0177006405883	below_floor
-20.2857142857	0.00456644275615	0.0146255117896	0.00454676635513	0.0146255117896	below_floor
-18.6285714286	0.00675195419587	0.0120844471191	0.00678844532477	0.0120844471191	below_floor
-16.9714285714	0.0099777629274	0.00998453795753	0.0100573063504	0.0100573063504	below_floor
-15.3142857143	0.0147190931914	0.00824915975945	0.0146542866508	0.0146542866508	below_floor
-13.6571428571	0.0216005989011	0.00681496364506	0.0214511081733	0.0214511081733	below_floor
-12	0.0315837982923	0.00563327935014	0.0315189637871	0.0315189637871	below_floor
